AssessmentIndDefinition.Name,AssessmentIndDefinitionId,Id,RegulatoryCode.RegulatoryAuthorityId,RegulatoryCodeId,ExternalId__c,ExternalId__c Reg Code,ExternalId__c (Assessment Indicator Definition)
"For the purposes of subsection .5 the registrant, the manager or a person authorized to sign residency agreements on behalf of the registrant.",0eubZ00000001H2QAI,0fMbZ00000000kmUAA,19pbZ00000002kzQAA,0fCbZ00000000rEUAQ,S 31.4.b ,S 31.4.b ,S 31.4.b 
"On accepting a person as a resident, registrant must ensure a short-term service plan is developed for the resident, with sufficient information to guide employees in protecting & promoting the resident's H&S until a personal service plan is developed.",0eubZ00000001H3QAI,0fMbZ00000000knUAA,19pbZ00000002kzQAA,0fCbZ00000000rFUAQ,S 32.1 ,S 32.1 ,S 32.1 
"A registrant must ensure that a personal service plan is developed for a resident that includes all of the applicable content set out in Schedule D,",0eubZ00000001H4QAI,0fMbZ00000000koUAA,19pbZ00000002kzQAA,0fCbZ00000000rGUAQ,S 33.1.a ,S 33.1.a ,S 33.1.a 
Registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail to enable employees to understand their duties & responsibilities in achieving the objectives of protecting and promoting the resident's H&S.,0eubZ00000001H5QAI,0fMbZ00000000kpUAA,19pbZ00000002kzQAA,0fCbZ00000000rHUAQ,S 33.1.b.i ,S 33.1.b.i ,S 33.1.b.i 
A registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail to enable employees to understand their duties and responsibilities in achieving the objectives of meeting the resident's needs.,0eubZ00000001H6QAI,0fMbZ00000000kqUAA,19pbZ00000002kzQAA,0fCbZ00000000rIUAQ,S 33.1.b.ii ,S 33.1.b.ii ,S 33.1.b.ii 
"Registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail for employees to understand their duties & responsibilities to meet the objectives of achieving the resident's personal goals, if applicable.",0eubZ00000001H7QAI,0fMbZ00000000krUAA,19pbZ00000002kzQAA,0fCbZ00000000rJUAQ,S 33.1.b.iii ,S 33.1.b.iii ,S 33.1.b.iii 
"A registrant must ensure that a personal service plan is developed for a resident that takes into consideration the cultural, spiritual and personal preferences of the resident.",0eubZ00000001H8QAI,0fMbZ00000000ksUAA,19pbZ00000002kzQAA,0fCbZ00000000rKUAQ,S 33.1.c ,S 33.1.c ,S 33.1.c 
"A registrant must ensure that a personal service plan is developed within the following period after the resident starts to reside in the assisted living residence: 7 days, in the case of an assisted living residence of the Supportive Recovery class.",0eubZ00000001H9QAI,0fMbZ00000000ktUAA,19pbZ00000002kzQAA,0fCbZ00000000rLUAQ,S 33.2.a ,S 33.2.a ,S 33.2.a 
"Registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate: if there is any substantial change to the nature or scope of the hospitality services or AL services being provided to the resident.",0eubZ00000001HAQAY,0fMbZ00000000kuUAA,19pbZ00000002kzQAA,0fCbZ00000000rMUAQ,S 33.2.b ,S 33.2.b ,S 33.2.b 
A registrant must ensure that a personal service plan is developed with the participation of the resident.,0eubZ00000001HBQAY,0fMbZ00000000kvUAA,19pbZ00000002kzQAA,0fCbZ00000000rNUAQ,S 33.3.a.i ,S 33.3.a.i ,S 33.3.a.i 
"A registrant must ensure that a personal service plan is developed with the participation of to the extent it is reasonably practicable to do so, the persons whom the resident requests to participate.",0eubZ00000001HCQAY,0fMbZ00000000kwUAA,19pbZ00000002kzQAA,0fCbZ00000000rOUAQ,S 33.3.a.ii ,S 33.3.a.ii ,S 33.3.a.ii 
A registrant must ensure that a personal service plan is approved by the resident.,0eubZ00000001HDQAY,0fMbZ00000000kxUAA,19pbZ00000002kzQAA,0fCbZ00000000rPUAQ,S 33.3.b ,S 33.3.b ,S 33.3.b 
A registrant must give to the resident a signed copy of the resident's personal service plan.,0eubZ00000001HEQAY,0fMbZ00000000kyUAA,19pbZ00000002kzQAA,0fCbZ00000000rQUAQ,S 33.4 ,S 33.4 ,S 33.4 
For the purposes of subsection (5) the resident or the resident's personal representative.,0eubZ00000001HFQAY,0fMbZ00000000kzUAA,19pbZ00000002kzQAA,0fCbZ00000000rRUAQ,S 33.5.a ,S 33.5.a ,S 33.5.a 
"For the purposes of subsection (6) the registrant, the manager or a person authorized to sign personal service plans on behalf of the registrant.",0eubZ00000001HGQAY,0fMbZ00000000l0UAA,19pbZ00000002kzQAA,0fCbZ00000000rSUAQ,S 33.5.b ,S 33.5.b ,S 33.5.b 
A registrant must ensure that a resident's personal service plan is implemented.,0eubZ00000001HHQAY,0fMbZ00000000l1UAA,19pbZ00000002kzQAA,0fCbZ00000000rTUAQ,S 34.1 ,S 34.1 ,S 34.1 
A registrant must ensure that the implementation of a resident's personal service plan is monitored regularly to ensure that the plan is achieving its objectives.,0eubZ00000001HIQAY,0fMbZ00000000l2UAA,19pbZ00000002kzQAA,0fCbZ00000000rUUAQ,S 34.2 ,S 34.2 ,S 34.2 
"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:at least monthly, in the case of an assisted living residence of the Supportive Recovery class.",0eubZ00000001HJQAY,0fMbZ00000000l3UAA,19pbZ00000002kzQAA,0fCbZ00000000rVUAQ,S 35.1.a ,S 35.1.a ,S 35.1.a 
"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:at least annually, in the case of an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class.",0eubZ00000001HKQAY,0fMbZ00000000l4UAA,19pbZ00000002kzQAA,0fCbZ00000000rWUAQ,S 35.1.b ,S 35.1.b ,S 35.1.b 
"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:on request of the resident.",0eubZ00000001HLQAY,0fMbZ00000000l5UAA,19pbZ00000002kzQAA,0fCbZ00000000rXUAQ,S 35.1.c ,S 35.1.c ,S 35.1.c 
"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:if monitoring under section 34 .2.",0eubZ00000001HMQAY,0fMbZ00000000l6UAA,19pbZ00000002kzQAA,0fCbZ00000000rYUAQ,S 35.1.d ,S 35.1.d ,S 35.1.d 
"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:if there is any substantial change tothe resident's needs or capabilities.",0eubZ00000001HNQAY,0fMbZ00000000l7UAA,19pbZ00000002kzQAA,0fCbZ00000000rZUAQ,S 35.1.e.i ,S 35.1.e.i ,S 35.1.e.i 
"Registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate: if there is any substantial change to the nature or scope of the hospitality services or AL services being provided to the resident.",0eubZ00000001HOQAY,0fMbZ00000000l8UAA,19pbZ00000002kzQAA,0fCbZ00000000raUAA,S 35.1.e.ii ,S 35.1.e.ii ,S 35.1.e.ii 
Section 33 (3) [personal service plan] applies to the revision of a resident's personal service plan.,0eubZ00000001HPQAY,0fMbZ00000000l9UAA,19pbZ00000002kzQAA,0fCbZ00000000rbUAA,S 35.2 ,S 35.2 ,S 35.2 
"On request of a resident, a registrant must give to the resident a signed copy of that resident's revised personal service plan, and section  33 (5) applies for this purpose.",0eubZ00000001HQQAY,0fMbZ00000000lAUAQ,19pbZ00000002kzQAA,0fCbZ00000000rcUAA,S 35.3 ,S 35.3 ,S 35.3 
 A registrant must display in a prominent place in the assisted living residence a statement of the rights of residents.,0eubZ00000001HRQAY,0fMbZ00000000lBUAQ,19pbZ00000002kzQAA,0fCbZ00000000rdUAA,S 36.1 ,S 36.1 ,S 36.1 
A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy describingthe types of medications that are accommodated on the premises.,0eubZ00000001HSQAY,0fMbZ00000000lCUAQ,19pbZ00000002kzQAA,0fCbZ00000000reUAA,S 37.1.a ,S 37.1.a ,S 37.1.a 
"A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy describingthe medications, if any, that are not permitted on the premises.",0eubZ00000001HTQAY,0fMbZ00000000lDUAQ,19pbZ00000002kzQAA,0fCbZ00000000rfUAA,S 37.1.b ,S 37.1.b ,S 37.1.b 
A registrant must not do any of the following unless one of the circumstances described in subsection .3intervene in the making of a personal decision by a resident or when a resident is carrying out a personal decision.,0eubZ00000001HUQAY,0fMbZ00000000lEUAQ,19pbZ00000002kzQAA,0fCbZ00000000rgUAA,S 38.1.a ,S 38.1.a ,S 38.1.a 
A registrant must not do any of the following unless one of the circumstances described in subsection .4prevent a resident from carrying out a personal decision.,0eubZ00000001HVQAY,0fMbZ00000000lFUAQ,19pbZ00000002kzQAA,0fCbZ00000000rhUAA,S 38.1.b ,S 38.1.b ,S 38.1.b 
A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:there is an imminent risk of serious harm to the resident.,0eubZ00000001HWQAY,0fMbZ00000000lGUAQ,19pbZ00000002kzQAA,0fCbZ00000000riUAA,S 38.2.a ,S 38.2.a ,S 38.2.a 
A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the resident may be subject to abuse within the meaning of Schedule E.,0eubZ00000001HXQAY,0fMbZ00000000lHUAQ,19pbZ00000002kzQAA,0fCbZ00000000rjUAA,S 38.2.b ,S 38.2.b ,S 38.2.b 
Registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances: the failure to intervene or to prevent the resident from carrying out the decision may jeopardize the H&S of other persons.,0eubZ00000001HYQAY,0fMbZ00000000lIUAQ,19pbZ00000002kzQAA,0fCbZ00000000rkUAA,S 38.2.c.i ,S 38.2.c.i ,S 38.2.c.i 
A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the failure to intervene or to prevent the resident from carrying out the decision maybe neglect within the meaning of Schedule E.,0eubZ00000001HZQAY,0fMbZ00000000lJUAQ,19pbZ00000002kzQAA,0fCbZ00000000rlUAA,S 38.2.c.ii ,S 38.2.c.ii ,S 38.2.c.ii 
A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the registrant is acting in accordance with the resident's residency agreement or personal service plan.,0eubZ00000001HaQAI,0fMbZ00000000lKUAQ,19pbZ00000002kzQAA,0fCbZ00000000rmUAA,S 38.2.d ,S 38.2.d ,S 38.2.d 
A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the registrant is taking an action required or permitted under the Adult Guardianship Act or another enactment.,0eubZ00000001HbQAI,0fMbZ00000000lLUAQ,19pbZ00000002kzQAA,0fCbZ00000000rnUAA,S 38.2.e ,S 38.2.e ,S 38.2.e 
"A registrant must, to the greatest extent possible while maintaining the health and safety of all residents, ensure respect for the personal privacy of each resident, including the privacy of each resident's unit, belongings and storage area.",0eubZ00000001HcQAI,0fMbZ00000000lMUAQ,19pbZ00000002kzQAA,0fCbZ00000000roUAA,S 39.1 ,S 39.1 ,S 39.1 
A registrant must not use electronic surveillance in a unit or washroom.,0eubZ00000001HdQAI,0fMbZ00000000lNUAQ,19pbZ00000002kzQAA,0fCbZ00000000rpUAA,S 39.2 ,S 39.2 ,S 39.2 
"A registrant must do both of the following:monitor residents' health and safety, taking reasonable steps to avoid undue interference with personal privacy.",0eubZ00000001HeQAI,0fMbZ00000000lOUAQ,19pbZ00000002kzQAA,0fCbZ00000000rqUAA,S 40.1.a ,S 40.1.a ,S 40.1.a 
"A registrant must do both of the following:advise a resident and, if appropriate, a resident's contact person if the resident's health or safety is or may be jeopardized.",0eubZ00000001HfQAI,0fMbZ00000000lPUAQ,19pbZ00000002kzQAA,0fCbZ00000000rrUAA,S 40.1.b ,S 40.1.b ,S 40.1.b 
"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 38 [respect for personal decisions].",0eubZ00000001HgQAI,0fMbZ00000000lQUAQ,19pbZ00000002kzQAA,0fCbZ00000000rsUAA,S 40.2.a ,S 40.2.a ,S 40.2.a 
"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 39 [respect for resident privacy].",0eubZ00000001HhQAI,0fMbZ00000000lRUAQ,19pbZ00000002kzQAA,0fCbZ00000000rtUAA,S 40.2.b ,S 40.2.b ,S 40.2.b 
"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 61 (3) [decisions respecting health professionals or medication].",0eubZ00000001HiQAI,0fMbZ00000000lSUAQ,19pbZ00000002kzQAA,0fCbZ00000000ruUAA,S 40.2.c ,S 40.2.c ,S 40.2.c 
Registrant of MH/SN class must maintain H&S of all residents and ensure that a res may receive at any time and communicate privately with visitors of the res choice,0eubZ00000001HjQAI,0fMbZ00000000lTUAQ,19pbZ00000002kzQAA,0fCbZ00000000rvUAA,S 41.1 ,S 41.1 ,S 41.1 
"A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy respecting visitation by and communication with non-residents, including any restrictions on these activities.",0eubZ00000001HkQAI,0fMbZ00000000lUUAQ,19pbZ00000002kzQAA,0fCbZ00000000rwUAA,S 41.2 ,S 41.2 ,S 41.2 
A registrant who operates an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class must survey all residents to determine resident satisfaction with the operation of the assisted living residence,0eubZ00000001HlQAI,0fMbZ00000000lVUAQ,19pbZ00000002kzQAA,0fCbZ00000000rxUAA,S 42.1.a ,S 42.1.a ,S 42.1.a 
A registrant who operates an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class must survey all residents to determine resident satisfaction with the provision of hospitality services and assisted living services,0eubZ00000001HmQAI,0fMbZ00000000lWUAQ,19pbZ00000002kzQAA,0fCbZ00000000ryUAA,S 42.1.b ,S 42.1.b ,S 42.1.b 
A registrant must make a record describing the findings of the survey,0eubZ00000001HnQAI,0fMbZ00000000lXUAQ,19pbZ00000002kzQAA,0fCbZ00000000rzUAA,S 42.2 ,S 42.2 ,S 42.2 
"A registrant must make a policy describing how residents and their contact persons and personal representatives, may bring a concern or make a complaint to the registrant about any matter relevant to the operation of the assisted living residence",0eubZ00000001HoQAI,0fMbZ00000000lYUAQ,19pbZ00000002kzQAA,0fCbZ00000000s0UAA,S 43.1.a.i ,S 43.1.a.i ,S 43.1.a.i 
Registrant must make a policy on how residents and their contact persons and personal Rep may bring a concern or make a complaint to the registrant about any matter relevant to the provision of hospitality services and assisted living services,0eubZ00000001HpQAI,0fMbZ00000000lZUAQ,19pbZ00000002kzQAA,0fCbZ00000000s1UAA,S 43.1.a.ii ,S 43.1.a.ii ,S 43.1.a.ii 
"A registrant must make a policy describing how residents and their contact persons and personal representatives, may bring a concern or make a complaint to the registrant about any matter relevant tothe implementation of their residency agreements",0eubZ00000001HqQAI,0fMbZ00000000laUAA,19pbZ00000002kzQAA,0fCbZ00000000s2UAA,S 43.1.a.iii ,S 43.1.a.iii ,S 43.1.a.iii 
"A registrant must make a policy describing how concerns will be addressed and complaints will be resolved in a fair, timely and effective manner",0eubZ00000001HrQAI,0fMbZ00000000lbUAA,19pbZ00000002kzQAA,0fCbZ00000000s3UAA,S 43.1.b ,S 43.1.b ,S 43.1.b 
A registrant must display in a prominent place in the assisted living residence the information described in section 31 (3) (b) [residency agreement] respecting complaints to the registrar.,0eubZ00000001HsQAI,0fMbZ00000000lcUAA,19pbZ00000002kzQAA,0fCbZ00000000s4UAA,S 43.2 ,S 43.2 ,S 43.2 
"If a concern is brought or a complaint is made to the registrant, the registrant must  make reasonable attempts to address the concern or resolve the complaint",0eubZ00000001HtQAI,0fMbZ00000000ldUAA,19pbZ00000002kzQAA,0fCbZ00000000s5UAA,S 43.3.a ,S 43.3.a ,S 43.3.a 
"If a concern is brought or a complaint is made to the registrant, the registrant must make a record of the concern or complaint and the actions taken under paragraph",0eubZ00000001HuQAI,0fMbZ00000000leUAA,19pbZ00000002kzQAA,0fCbZ00000000s6UAA,S 43.3.b ,S 43.3.b ,S 43.3.b 
"A registrant must ensure that a resident is not subject to  interference or obstruction, including by intimidation, if the resident wishes or attempts to contact the registrar to make a complain",0eubZ00000001HvQAI,0fMbZ00000000lfUAA,19pbZ00000002kzQAA,0fCbZ00000000s7UAA,S 43.4.a ,S 43.4.a ,S 43.4.a 
"A registrant must ensure that a resident is not subject to retaliation as a result of concerns brought or complaints made to the registrant, or complaints made to the registrar.",0eubZ00000001HwQAI,0fMbZ00000000lgUAA,19pbZ00000002kzQAA,0fCbZ00000000s8UAA,S 43.4.b ,S 43.4.b ,S 43.4.b 
A registrant must make a policy describing the procedures to be followedto determine if a resident may no longer reside in the assisted living residence.,0eubZ00000001HxQAI,0fMbZ00000000lhUAA,19pbZ00000002kzQAA,0fCbZ00000000s9UAA,S 44.1.a ,S 44.1.a ,S 44.1.a 
A registrant must make a policy describing the procedures to be followedto end the resident's residency.,0eubZ00000001HyQAI,0fMbZ00000000liUAA,19pbZ00000002kzQAA,0fCbZ00000000sAUAQ,S 44.1.b ,S 44.1.b ,S 44.1.b 
"Registrant must not end residency if resident is unable to make decisions to live safely, unless the registrant ensures assessment of decision-making capacity before ending the resident's residency, by a health professional referred to in subsection.3",0eubZ00000001HzQAI,0fMbZ00000000ljUAA,19pbZ00000002kzQAA,0fCbZ00000000sBUAQ,S 44.2.a ,S 44.2.a ,S 44.2.a 
"Registrant must not end a resident's residency on the basis that the resident is unable to make, on their own behalf, decisions that are necessary to live safely, unless the registrant keeps a record of the results of the assessment.",0eubZ00000001I0QAI,0fMbZ00000000lkUAA,19pbZ00000002kzQAA,0fCbZ00000000sCUAQ,S 44.2.b ,S 44.2.b ,S 44.2.b 
"Registrant must not end residency on the basis that the resident is unable to make own decisions necessary to live safely, unless the registrant ensures that the resident  & the resident's contact person and personal rep if any, have a copy of the record.",0eubZ00000001I1QAI,0fMbZ00000000llUAA,19pbZ00000002kzQAA,0fCbZ00000000sDUAQ,S 44.2.c ,S 44.2.c ,S 44.2.c 
The following are health professionals for the purposes of subsection .3medical practitioners.,0eubZ00000001I2QAI,0fMbZ00000000lmUAA,19pbZ00000002kzQAA,0fCbZ00000000sEUAQ,S 44.3.a ,S 44.3.a ,S 44.3.a 
The following are health professionals for the purposes of subsection .5registrants of the British Columbia College of Nurses and Midwives who are subject tothe Nurses (Registered) and Nurse Practitioners Regulation.,0eubZ00000001I3QAI,0fMbZ00000000lnUAA,19pbZ00000002kzQAA,0fCbZ00000000sFUAQ,S 44.3.b.i ,S 44.3.b.i ,S 44.3.b.i 
The following are health professionals for the purposes of subsection .6registrants of the British Columbia College of Nurses and Midwives who are subject tothe Nurses (Registered Psychiatric) Regulation.,0eubZ00000001I4QAI,0fMbZ00000000loUAA,19pbZ00000002kzQAA,0fCbZ00000000sGUAQ,S 44.3.b.ii ,S 44.3.b.ii ,S 44.3.b.ii 
The following are health professionals for the purposes of subsection .7registrants of the British Columbia College of Social Workers.,0eubZ00000001I5QAI,0fMbZ00000000lpUAA,19pbZ00000002kzQAA,0fCbZ00000000sHUAQ,S 44.3.c ,S 44.3.c ,S 44.3.c 
The following are health professionals for the purposes of subsection .8registrants of the College of Occupational Therapists of British Columbia.,0eubZ00000001I6QAI,0fMbZ00000000lqUAA,19pbZ00000002kzQAA,0fCbZ00000000sIUAQ,S 44.3.d ,S 44.3.d ,S 44.3.d 
The following are health professionals for the purposes of subsection .9registrants of the College of Psychologists of British Columbia.,0eubZ00000001I7QAI,0fMbZ00000000lrUAA,19pbZ00000002kzQAA,0fCbZ00000000sJUAQ,S 44.3.e ,S 44.3.e ,S 44.3.e 
"Registrant must develop transition plan for ending a resident's residency when needs & capabilities change, resident requires care or is no longer allowed, under section 26.1 [persons not allowed to reside in AL residence] of the Act, to reside in the AL",0eubZ00000001I8QAI,0fMbZ00000000lsUAA,19pbZ00000002kzQAA,0fCbZ00000000sKUAQ,S 45.1.a ,S 45.1.a ,S 45.1.a 
A registrant must ensure that a transition plan is developed for a resident that provides for ending a resident's residency if any of the following circumstances occur:the resident no longer requires assisted living services.,0eubZ00000001I9QAI,0fMbZ00000000ltUAA,19pbZ00000002kzQAA,0fCbZ00000000sLUAQ,S 45.1.b ,S 45.1.b ,S 45.1.b 
A registrant must ensure that a transition plan is developed for a resident that provides for ending a resident's residency if any of the following circumstances occur:the resident expresses an intention to end the resident's residency.,0eubZ00000001IAQAY,0fMbZ00000000luUAA,19pbZ00000002kzQAA,0fCbZ00000000sMUAQ,S 45.1.c ,S 45.1.c ,S 45.1.c 
Registrant must develop a transition plan that provides for ending a resident's residency if the resident resides in an AL residence of the SU class and chooses to use a med that is not permitted under the med policy of the AL residence.,0eubZ00000001IBQAY,0fMbZ00000000lvUAA,19pbZ00000002kzQAA,0fCbZ00000000sNUAQ,S 45.1.d ,S 45.1.d ,S 45.1.d 
"A registrant must ensure that a transition plan describes all of the following:when and by whom the resident will be moved out of the assisted living residence, and, if known, where the resident will be moved to.",0eubZ00000001ICQAY,0fMbZ00000000lwUAA,19pbZ00000002kzQAA,0fCbZ00000000sOUAQ,S 45.2.a ,S 45.2.a ,S 45.2.a 
"Registrant must ensure transition plan describes how any risks to the H&S of the resident will be minimized before, during & after the move, including any changes to the AL services that will be provided to the resident while awaiting the move.",0eubZ00000001IDQAY,0fMbZ00000000lxUAA,19pbZ00000002kzQAA,0fCbZ00000000sPUAQ,S 45.2.b.i ,S 45.2.b.i ,S 45.2.b.i 
"Registrant must ensure transition plan describes risks to H&S of resident will be minimized before, during & after the move, & of an AL res of SU class, info or referrals re access to housing supports, pro hlth services & social services after the move.",0eubZ00000001IEQAY,0fMbZ00000000lyUAA,19pbZ00000002kzQAA,0fCbZ00000000sQUAQ,S 45.2.b.ii ,S 45.2.b.ii ,S 45.2.b.ii 
A registrant must ensure that a transition plan is developed with the participation ofthe resident.,0eubZ00000001IFQAY,0fMbZ00000000lzUAA,19pbZ00000002kzQAA,0fCbZ00000000sRUAQ,S 45.3.a ,S 45.3.a ,S 45.3.a 
"A registrant must ensure that a transition plan is developed with the participation ofif the resident is the beneficiary of a funding program and to the extent it is reasonably practical to do so, a representative of the funding program.",0eubZ00000001IGQAY,0fMbZ00000000m0UAA,19pbZ00000002kzQAA,0fCbZ00000000sSUAQ,S 45.3.b ,S 45.3.b ,S 45.3.b 
"A registrant must ensure that a transition plan is developed with the participation ofone or more of the following, if and as requested by the resident and to the extent it is reasonably practical to do so:the resident's contact person.",0eubZ00000001IHQAY,0fMbZ00000000m1UAA,19pbZ00000002kzQAA,0fCbZ00000000sTUAQ,S 45.3.c.i ,S 45.3.c.i ,S 45.3.c.i 
"A registrant must ensure that a transition plan is developed with the participation ofone or more of the following, if and as requested by the resident and to the extent it is reasonably practical to do so:the resident's personal representative, if any.",0eubZ00000001IIQAY,0fMbZ00000000m2UAA,19pbZ00000002kzQAA,0fCbZ00000000sUUAQ,S 45.3.c.ii ,S 45.3.c.ii ,S 45.3.c.ii 
"Registrant must ensure that a transition plan is developed with the participation of one or more, if & as requested by the resident & to the extent reasonably practical to do so: the resident's med prac, nurse prac, or other appropriate hlth professional.",0eubZ00000001IJQAY,0fMbZ00000000m3UAA,19pbZ00000002kzQAA,0fCbZ00000000sVUAQ,S 45.3.c.iii ,S 45.3.c.iii ,S 45.3.c.iii 
"If residency ends unexpectedly, i.e. abandons the AL residence or required to leave under terms of resident's res agreement, a registrant must notify person's contact & if the person is the beneficiary of a funding program, a rep of the funding program.",0eubZ00000001IKQAY,0fMbZ00000000m4UAA,19pbZ00000002kzQAA,0fCbZ00000000sWUAQ,S 46.1.a ,S 46.1.a ,S 46.1.a 
"If residency ends unexpectedly, i.e. abandons the AL residence or required to leave (terms of resident's res agreement) a registrant must unless not practicable provide the person info re access to housing supports, pro hlth services & social services.",0eubZ00000001ILQAY,0fMbZ00000000m5UAA,19pbZ00000002kzQAA,0fCbZ00000000sXUAQ,S 46.1.b.i ,S 46.1.b.i ,S 46.1.b.i 
"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must unless not practicable provide a personal naloxone kit if  person is at risk of experiencing an opioid OD",0eubZ00000001IMQAY,0fMbZ00000000m6UAA,19pbZ00000002kzQAA,0fCbZ00000000sYUAQ,S 46.1.b.ii ,S 46.1.b.ii ,S 46.1.b.ii 
"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must as practicable make a record of the event and of the actions taken under paragraphs .a.",0eubZ00000001INQAY,0fMbZ00000000m7UAA,19pbZ00000002kzQAA,0fCbZ00000000sZUAQ,S 46.1.c ,S 46.1.c ,S 46.1.c 
A registrant must make a plan describing the procedures to be followed topromote general health and hygiene amongst residents.,0eubZ00000001IOQAY,0fMbZ00000000m8UAA,19pbZ00000002kzQAA,0fCbZ00000000saUAA,S 47.1.a ,S 47.1.a ,S 47.1.a 
A registrant must make a plan describing the procedures to be followed toprevent the spread of infectious disease in the assisted living residence.,0eubZ00000001IPQAY,0fMbZ00000000m9UAA,19pbZ00000002kzQAA,0fCbZ00000000sbUAA,S 47.1.b ,S 47.1.b ,S 47.1.b 
"activated e-cig""TVPCA""canna""CCLA""e-cig""TVPCA ""med canna CCLA""ReAct""(a)activity that is a rcon;(b)gr/storage of canna;""rcon""(a)to smk/use tobac/hold lighted tobac;(b)use e-cig/hold activated e-cig;(c)smk/vape canna;""smk/vape canna s.60CCLA""tobac""TVPCA",0eubZ00000001IQQAY,0fMbZ00000000mAUAQ,19pbZ00000002kzQAA,0fCbZ00000000scUAA,S 48.1 ,S 48.1 ,S 48.1 
A registrant must ensure thatno one other than a resident engages in a restricted activity while on the premises of the assisted living residence.,0eubZ00000001IRQAY,0fMbZ00000000mBUAQ,19pbZ00000002kzQAA,0fCbZ00000000sdUAA,S 48.2.a ,S 48.2.a ,S 48.2.a 
A registrant must ensure thatemployees do not engage in restricted consumption while providing services to residents.,0eubZ00000001ISQAY,0fMbZ00000000mCUAQ,19pbZ00000002kzQAA,0fCbZ00000000seUAA,S 48.2.b ,S 48.2.b ,S 48.2.b 
"A registrant must ensure thatif necessary for the safety of the resident, a resident who engages in restricted consumption is supervised.",0eubZ00000001ITQAY,0fMbZ00000000mDUAQ,19pbZ00000002kzQAA,0fCbZ00000000sfUAA,S 48.2.c ,S 48.2.c ,S 48.2.c 
"A registrant must make a policy respecting all of the following:the engagement by residents in restricted activities, other than the consumption of medical cannabis, on the premises.",0eubZ00000001IUQAY,0fMbZ00000000mEUAQ,19pbZ00000002kzQAA,0fCbZ00000000sgUAA,S 48.3.a ,S 48.3.a ,S 48.3.a 
"A registrant must make a policy respecting all of the following:the possession and disposal by anyone of tobacco, e-cigarettes and cannabis, other than medical cannabis, on the premises.",0eubZ00000001IVQAY,0fMbZ00000000mFUAQ,19pbZ00000002kzQAA,0fCbZ00000000shUAA,S 48.3.b ,S 48.3.b ,S 48.3.b 
A registrant must ensure that the policy required under subsection .4includes any restrictions on those activities on the premises.,0eubZ00000001IWQAY,0fMbZ00000000mGUAQ,19pbZ00000002kzQAA,0fCbZ00000000siUAA,S 48.4.a ,S 48.4.a ,S 48.4.a 
"A registrant must ensure that the policy required under subsection .5is consistent with the prohibitions and restrictions under the Cannabis Control and Licensing Act or the Tobacco and Vapour Products Control Act, as applicable.",0eubZ00000001IXQAY,0fMbZ00000000mHUAQ,19pbZ00000002kzQAA,0fCbZ00000000sjUAA,S 48.4.b ,S 48.4.b ,S 48.4.b 
"In this section, ""FOODSAFE certificate"" means a certificate, issued by a health officer within the meaning of the Public Health Act, evidencing the successful completion of the food handler training program known as FOODSAFE or its equivalent.",0eubZ00000001IYQAY,0fMbZ00000000mIUAQ,19pbZ00000002kzQAA,0fCbZ00000000skUAA,S 49.1 ,S 49.1 ,S 49.1 
"A registrant must ensure that food and fluids provided by the registrant to residents are prepared, stored, served and handled safely.",0eubZ00000001IZQAY,0fMbZ00000000mJUAQ,19pbZ00000002kzQAA,0fCbZ00000000slUAA,S 49.2 ,S 49.2 ,S 49.2 
"A registrant must ensure that at least one employee who holds a current FOODSAFE certificate is present at the assisted living residence while food is prepared, served and handled.",0eubZ00000001IaQAI,0fMbZ00000000mKUAQ,19pbZ00000002kzQAA,0fCbZ00000000smUAA,S 49.3 ,S 49.3 ,S 49.3 
