Category__c,DataType,Description,Errors,ExternalId__c,Id,Name
Administrative and Other Matters,String,"For the purposes of subsection .5 the registrant, the manager or a person authorized to sign residency agreements on behalf of the registrant.",,S 31.4.b ,0euAq0000000UkSIAU,"For the purposes of subsection .5 the registrant, the manager or a person authorized to sign residency agreements on behalf of the registrant."
Planning and Support Agreements,String,"On accepting a person as a resident, registrant must ensure a short-term service plan is developed for the resident, with sufficient information to guide employees in protecting & promoting the resident's H&S until a personal service plan is developed.",,S 32.1 ,0euAq0000000UkTIAU,"On accepting a person as a resident, registrant must ensure a short-term service plan is developed for the resident, with sufficient information to guide employees in protecting & promoting the resident's H&S until a personal service plan is developed."
Planning and Support Agreements,String,"A registrant must ensure that a personal service plan is developed for a resident that includes all of the applicable content set out in Schedule D,",,S 33.1.a ,0euAq0000000UkUIAU,"A registrant must ensure that a personal service plan is developed for a resident that includes all of the applicable content set out in Schedule D,"
Planning and Support Agreements,String,Registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail to enable employees to understand their duties & responsibilities in achieving the objectives of protecting and promoting the resident's H&S.,,S 33.1.b.i ,0euAq0000000UkVIAU,Registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail to enable employees to understand their duties & responsibilities in achieving the objectives of protecting and promoting the resident's H&S.
Planning and Support Agreements,String,A registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail to enable employees to understand their duties and responsibilities in achieving the objectives of meeting the resident's needs.,,S 33.1.b.ii ,0euAq0000000UkWIAU,A registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail to enable employees to understand their duties and responsibilities in achieving the objectives of meeting the resident's needs.
Planning and Support Agreements,String,"Registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail for employees to understand their duties & responsibilities to meet the objectives of achieving the resident's personal goals, if applicable.",,S 33.1.b.iii ,0euAq0000000UkXIAU,"Registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail for employees to understand their duties & responsibilities to meet the objectives of achieving the resident's personal goals, if applicable."
Planning and Support Agreements,String,"A registrant must ensure that a personal service plan is developed for a resident that takes into consideration the cultural, spiritual and personal preferences of the resident.",,S 33.1.c ,0euAq0000000UkYIAU,"A registrant must ensure that a personal service plan is developed for a resident that takes into consideration the cultural, spiritual and personal preferences of the resident."
Planning and Support Agreements,String,"A registrant must ensure that a personal service plan is developed within the following period after the resident starts to reside in the assisted living residence: 7 days, in the case of an assisted living residence of the Supportive Recovery class.",,S 33.2.a ,0euAq0000000UkZIAU,"A registrant must ensure that a personal service plan is developed within the following period after the resident starts to reside in the assisted living residence: 7 days, in the case of an assisted living residence of the Supportive Recovery class."
Planning and Support Agreements,String,"Registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate: if there is any substantial change to the nature or scope of the hospitality services or AL services being provided to the resident.",,S 33.2.b ,0euAq0000000UkaIAE,"Registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate: if there is any substantial change to the nature or scope of the hospitality services or AL services being provided to the resident."
Planning and Support Agreements,String,A registrant must ensure that a personal service plan is developed with the participation of the resident.,,S 33.3.a.i ,0euAq0000000UkbIAE,A registrant must ensure that a personal service plan is developed with the participation of the resident.
Planning and Support Agreements,String,"A registrant must ensure that a personal service plan is developed with the participation of to the extent it is reasonably practicable to do so, the persons whom the resident requests to participate.",,S 33.3.a.ii ,0euAq0000000UkcIAE,"A registrant must ensure that a personal service plan is developed with the participation of to the extent it is reasonably practicable to do so, the persons whom the resident requests to participate."
Planning and Support Agreements,String,A registrant must ensure that a personal service plan is approved by the resident.,,S 33.3.b ,0euAq0000000UkdIAE,A registrant must ensure that a personal service plan is approved by the resident.
Administrative and Other Matters,String,A registrant must give to the resident a signed copy of the resident's personal service plan.,,S 33.4 ,0euAq0000000UkeIAE,A registrant must give to the resident a signed copy of the resident's personal service plan.
Administrative and Other Matters,String,For the purposes of subsection (5) the resident or the resident's personal representative.,,S 33.5.a ,0euAq0000000UkfIAE,For the purposes of subsection (5) the resident or the resident's personal representative.
Administrative and Other Matters,String,"For the purposes of subsection (6) the registrant, the manager or a person authorized to sign personal service plans on behalf of the registrant.",,S 33.5.b ,0euAq0000000UkgIAE,"For the purposes of subsection (6) the registrant, the manager or a person authorized to sign personal service plans on behalf of the registrant."
Residents' Rights,String,A registrant must ensure that a resident's personal service plan is implemented.,,S 34.1 ,0euAq0000000UkhIAE,A registrant must ensure that a resident's personal service plan is implemented.
Residents' Rights,String,A registrant must ensure that the implementation of a resident's personal service plan is monitored regularly to ensure that the plan is achieving its objectives.,,S 34.2 ,0euAq0000000UkiIAE,A registrant must ensure that the implementation of a resident's personal service plan is monitored regularly to ensure that the plan is achieving its objectives.
Residents' Rights,String,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:at least monthly, in the case of an assisted living residence of the Supportive Recovery class.",,S 35.1.a ,0euAq0000000UkjIAE,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:at least monthly, in the case of an assisted living residence of the Supportive Recovery class."
Residents' Rights,String,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:at least annually, in the case of an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class.",,S 35.1.b ,0euAq0000000UkkIAE,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:at least annually, in the case of an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class."
Residents' Rights,String,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:on request of the resident.",,S 35.1.c ,0euAq0000000UklIAE,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:on request of the resident."
Residents' Rights,String,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:if monitoring under section 34 .2.",,S 35.1.d ,0euAq0000000UkmIAE,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:if monitoring under section 34 .2."
Residents' Rights,String,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:if there is any substantial change tothe resident's needs or capabilities.",,S 35.1.e.i ,0euAq0000000UknIAE,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:if there is any substantial change tothe resident's needs or capabilities."
Residents' Rights,String,"Registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate: if there is any substantial change to the nature or scope of the hospitality services or AL services being provided to the resident.",,S 35.1.e.ii ,0euAq0000000UkoIAE,"Registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate: if there is any substantial change to the nature or scope of the hospitality services or AL services being provided to the resident."
Residents' Rights,String,Section 33 (3) [personal service plan] applies to the revision of a resident's personal service plan.,,S 35.2 ,0euAq0000000UkpIAE,Section 33 (3) [personal service plan] applies to the revision of a resident's personal service plan.
Residents' Rights,String,"On request of a resident, a registrant must give to the resident a signed copy of that resident's revised personal service plan, and section  33 (5) applies for this purpose.",,S 35.3 ,0euAq0000000UkqIAE,"On request of a resident, a registrant must give to the resident a signed copy of that resident's revised personal service plan, and section  33 (5) applies for this purpose."
Residents' Rights,String, A registrant must display in a prominent place in the assisted living residence a statement of the rights of residents.,,S 36.1 ,0euAq0000000UkrIAE, A registrant must display in a prominent place in the assisted living residence a statement of the rights of residents.
Administrative and Other Matters,String,A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy describingthe types of medications that are accommodated on the premises.,,S 37.1.a ,0euAq0000000UksIAE,A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy describingthe types of medications that are accommodated on the premises.
Administrative and Other Matters,String,"A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy describingthe medications, if any, that are not permitted on the premises.",,S 37.1.b ,0euAq0000000UktIAE,"A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy describingthe medications, if any, that are not permitted on the premises."
Residents' Rights,String,A registrant must not do any of the following unless one of the circumstances described in subsection .3intervene in the making of a personal decision by a resident or when a resident is carrying out a personal decision.,,S 38.1.a ,0euAq0000000UkuIAE,A registrant must not do any of the following unless one of the circumstances described in subsection .3intervene in the making of a personal decision by a resident or when a resident is carrying out a personal decision.
Residents' Rights,String,A registrant must not do any of the following unless one of the circumstances described in subsection .4prevent a resident from carrying out a personal decision.,,S 38.1.b ,0euAq0000000UkvIAE,A registrant must not do any of the following unless one of the circumstances described in subsection .4prevent a resident from carrying out a personal decision.
Residents' Rights,String,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:there is an imminent risk of serious harm to the resident.,,S 38.2.a ,0euAq0000000UkwIAE,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:there is an imminent risk of serious harm to the resident.
Residents' Rights,String,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the resident may be subject to abuse within the meaning of Schedule E.,,S 38.2.b ,0euAq0000000UkxIAE,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the resident may be subject to abuse within the meaning of Schedule E.
Residents' Rights,String,Registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances: the failure to intervene or to prevent the resident from carrying out the decision may jeopardize the H&S of other persons.,,S 38.2.c.i ,0euAq0000000UkyIAE,Registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances: the failure to intervene or to prevent the resident from carrying out the decision may jeopardize the H&S of other persons.
Residents' Rights,String,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the failure to intervene or to prevent the resident from carrying out the decision maybe neglect within the meaning of Schedule E.,,S 38.2.c.ii ,0euAq0000000UkzIAE,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the failure to intervene or to prevent the resident from carrying out the decision maybe neglect within the meaning of Schedule E.
Residents' Rights,String,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the registrant is acting in accordance with the resident's residency agreement or personal service plan.,,S 38.2.d ,0euAq0000000Ul0IAE,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the registrant is acting in accordance with the resident's residency agreement or personal service plan.
Residents' Rights,String,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the registrant is taking an action required or permitted under the Adult Guardianship Act or another enactment.,,S 38.2.e ,0euAq0000000Ul1IAE,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the registrant is taking an action required or permitted under the Adult Guardianship Act or another enactment.
Residents' Rights,String,"A registrant must, to the greatest extent possible while maintaining the health and safety of all residents, ensure respect for the personal privacy of each resident, including the privacy of each resident's unit, belongings and storage area.",,S 39.1 ,0euAq0000000Ul2IAE,"A registrant must, to the greatest extent possible while maintaining the health and safety of all residents, ensure respect for the personal privacy of each resident, including the privacy of each resident's unit, belongings and storage area."
Residents' Rights,String,A registrant must not use electronic surveillance in a unit or washroom.,,S 39.2 ,0euAq0000000Ul3IAE,A registrant must not use electronic surveillance in a unit or washroom.
Residents' Rights,String,"A registrant must do both of the following:monitor residents' health and safety, taking reasonable steps to avoid undue interference with personal privacy.",,S 40.1.a ,0euAq0000000Ul4IAE,"A registrant must do both of the following:monitor residents' health and safety, taking reasonable steps to avoid undue interference with personal privacy."
Residents' Rights,String,"A registrant must do both of the following:advise a resident and, if appropriate, a resident's contact person if the resident's health or safety is or may be jeopardized.",,S 40.1.b ,0euAq0000000Ul5IAE,"A registrant must do both of the following:advise a resident and, if appropriate, a resident's contact person if the resident's health or safety is or may be jeopardized."
Residents' Rights,String,"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 38 [respect for personal decisions].",,S 40.2.a ,0euAq0000000Ul6IAE,"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 38 [respect for personal decisions]."
Residents' Rights,String,"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 39 [respect for resident privacy].",,S 40.2.b ,0euAq0000000Ul7IAE,"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 39 [respect for resident privacy]."
Residents' Rights,String,"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 61 (3) [decisions respecting health professionals or medication].",,S 40.2.c ,0euAq0000000Ul8IAE,"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 61 (3) [decisions respecting health professionals or medication]."
Residents' Rights,String,Registrant of MH/SN class must maintain H&S of all residents and ensure that a res may receive at any time and communicate privately with visitors of the res choice,,S 41.1 ,0euAq0000000Ul9IAE,Registrant of MH/SN class must maintain H&S of all residents and ensure that a res may receive at any time and communicate privately with visitors of the res choice
Administrative and Other Matters,String,"A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy respecting visitation by and communication with non-residents, including any restrictions on these activities.",,S 41.2 ,0euAq0000000UlAIAU,"A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy respecting visitation by and communication with non-residents, including any restrictions on these activities."
Residents' Rights,String,A registrant who operates an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class must survey all residents to determine resident satisfaction with the operation of the assisted living residence,,S 42.1.a ,0euAq0000000UlBIAU,A registrant who operates an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class must survey all residents to determine resident satisfaction with the operation of the assisted living residence
Residents' Rights,String,A registrant who operates an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class must survey all residents to determine resident satisfaction with the provision of hospitality services and assisted living services,,S 42.1.b ,0euAq0000000UlCIAU,A registrant who operates an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class must survey all residents to determine resident satisfaction with the provision of hospitality services and assisted living services
Administrative and Other Matters,String,A registrant must make a record describing the findings of the survey,,S 42.2 ,0euAq0000000UlDIAU,A registrant must make a record describing the findings of the survey
Administrative and Other Matters,String,"A registrant must make a policy describing how residents and their contact persons and personal representatives, may bring a concern or make a complaint to the registrant about any matter relevant to the operation of the assisted living residence",,S 43.1.a.i ,0euAq0000000UlEIAU,"A registrant must make a policy describing how residents and their contact persons and personal representatives, may bring a concern or make a complaint to the registrant about any matter relevant to the operation of the assisted living residence"
Administrative and Other Matters,String,Registrant must make a policy on how residents and their contact persons and personal Rep may bring a concern or make a complaint to the registrant about any matter relevant to the provision of hospitality services and assisted living services,,S 43.1.a.ii ,0euAq0000000UlFIAU,Registrant must make a policy on how residents and their contact persons and personal Rep may bring a concern or make a complaint to the registrant about any matter relevant to the provision of hospitality services and assisted living services
Administrative and Other Matters,String,"A registrant must make a policy describing how residents and their contact persons and personal representatives, may bring a concern or make a complaint to the registrant about any matter relevant tothe implementation of their residency agreements",,S 43.1.a.iii ,0euAq0000000UlGIAU,"A registrant must make a policy describing how residents and their contact persons and personal representatives, may bring a concern or make a complaint to the registrant about any matter relevant tothe implementation of their residency agreements"
Administrative and Other Matters,String,"A registrant must make a policy describing how concerns will be addressed and complaints will be resolved in a fair, timely and effective manner",,S 43.1.b ,0euAq0000000UlHIAU,"A registrant must make a policy describing how concerns will be addressed and complaints will be resolved in a fair, timely and effective manner"
Residents' Rights,String,A registrant must display in a prominent place in the assisted living residence the information described in section 31 (3) (b) [residency agreement] respecting complaints to the registrar.,,S 43.2 ,0euAq0000000UlIIAU,A registrant must display in a prominent place in the assisted living residence the information described in section 31 (3) (b) [residency agreement] respecting complaints to the registrar.
Residents' Rights,String,"If a concern is brought or a complaint is made to the registrant, the registrant must  make reasonable attempts to address the concern or resolve the complaint",,S 43.3.a ,0euAq0000000UlJIAU,"If a concern is brought or a complaint is made to the registrant, the registrant must  make reasonable attempts to address the concern or resolve the complaint"
Administrative and Other Matters,String,"If a concern is brought or a complaint is made to the registrant, the registrant must make a record of the concern or complaint and the actions taken under paragraph",,S 43.3.b ,0euAq0000000UlKIAU,"If a concern is brought or a complaint is made to the registrant, the registrant must make a record of the concern or complaint and the actions taken under paragraph"
Residents' Rights,String,"A registrant must ensure that a resident is not subject to  interference or obstruction, including by intimidation, if the resident wishes or attempts to contact the registrar to make a complain",,S 43.4.a ,0euAq0000000UlLIAU,"A registrant must ensure that a resident is not subject to  interference or obstruction, including by intimidation, if the resident wishes or attempts to contact the registrar to make a complain"
Residents' Rights,String,"A registrant must ensure that a resident is not subject to retaliation as a result of concerns brought or complaints made to the registrant, or complaints made to the registrar.",,S 43.4.b ,0euAq0000000UlMIAU,"A registrant must ensure that a resident is not subject to retaliation as a result of concerns brought or complaints made to the registrant, or complaints made to the registrar."
Administrative and Other Matters,String,A registrant must make a policy describing the procedures to be followedto determine if a resident may no longer reside in the assisted living residence.,,S 44.1.a ,0euAq0000000UlNIAU,A registrant must make a policy describing the procedures to be followedto determine if a resident may no longer reside in the assisted living residence.
Administrative and Other Matters,String,A registrant must make a policy describing the procedures to be followedto end the resident's residency.,,S 44.1.b ,0euAq0000000UlOIAU,A registrant must make a policy describing the procedures to be followedto end the resident's residency.
Planning and Support Agreements,String,"Registrant must not end residency if resident is unable to make decisions to live safely, unless the registrant ensures assessment of decision-making capacity before ending the resident's residency, by a health professional referred to in subsection.3",,S 44.2.a ,0euAq0000000UlPIAU,"Registrant must not end residency if resident is unable to make decisions to live safely, unless the registrant ensures assessment of decision-making capacity before ending the resident's residency, by a health professional referred to in subsection.3"
Administrative and Other Matters,String,"Registrant must not end a resident's residency on the basis that the resident is unable to make, on their own behalf, decisions that are necessary to live safely, unless the registrant keeps a record of the results of the assessment.",,S 44.2.b ,0euAq0000000UlQIAU,"Registrant must not end a resident's residency on the basis that the resident is unable to make, on their own behalf, decisions that are necessary to live safely, unless the registrant keeps a record of the results of the assessment."
Administrative and Other Matters,String,"Registrant must not end residency on the basis that the resident is unable to make own decisions necessary to live safely, unless the registrant ensures that the resident  & the resident's contact person and personal rep if any, have a copy of the record.",,S 44.2.c ,0euAq0000000UlRIAU,"Registrant must not end residency on the basis that the resident is unable to make own decisions necessary to live safely, unless the registrant ensures that the resident  & the resident's contact person and personal rep if any, have a copy of the record."
Planning and Support Agreements,String,The following are health professionals for the purposes of subsection .3medical practitioners.,,S 44.3.a ,0euAq0000000UlSIAU,The following are health professionals for the purposes of subsection .3medical practitioners.
Planning and Support Agreements,String,The following are health professionals for the purposes of subsection .5registrants of the British Columbia College of Nurses and Midwives who are subject tothe Nurses (Registered) and Nurse Practitioners Regulation.,,S 44.3.b.i ,0euAq0000000UlTIAU,The following are health professionals for the purposes of subsection .5registrants of the British Columbia College of Nurses and Midwives who are subject tothe Nurses (Registered) and Nurse Practitioners Regulation.
Planning and Support Agreements,String,The following are health professionals for the purposes of subsection .6registrants of the British Columbia College of Nurses and Midwives who are subject tothe Nurses (Registered Psychiatric) Regulation.,,S 44.3.b.ii ,0euAq0000000UlUIAU,The following are health professionals for the purposes of subsection .6registrants of the British Columbia College of Nurses and Midwives who are subject tothe Nurses (Registered Psychiatric) Regulation.
Planning and Support Agreements,String,The following are health professionals for the purposes of subsection .7registrants of the British Columbia College of Social Workers.,,S 44.3.c ,0euAq0000000UlVIAU,The following are health professionals for the purposes of subsection .7registrants of the British Columbia College of Social Workers.
Planning and Support Agreements,String,The following are health professionals for the purposes of subsection .8registrants of the College of Occupational Therapists of British Columbia.,,S 44.3.d ,0euAq0000000UlWIAU,The following are health professionals for the purposes of subsection .8registrants of the College of Occupational Therapists of British Columbia.
Planning and Support Agreements,String,The following are health professionals for the purposes of subsection .9registrants of the College of Psychologists of British Columbia.,,S 44.3.e ,0euAq0000000UlXIAU,The following are health professionals for the purposes of subsection .9registrants of the College of Psychologists of British Columbia.
Planning and Support Agreements,String,"Registrant must develop transition plan for ending a resident's residency when needs & capabilities change, resident requires care or is no longer allowed, under section 26.1 [persons not allowed to reside in AL residence] of the Act, to reside in the AL",,S 45.1.a ,0euAq0000000UlYIAU,"Registrant must develop transition plan for ending a resident's residency when needs & capabilities change, resident requires care or is no longer allowed, under section 26.1 [persons not allowed to reside in AL residence] of the Act, to reside in the AL"
Planning and Support Agreements,String,A registrant must ensure that a transition plan is developed for a resident that provides for ending a resident's residency if any of the following circumstances occur:the resident no longer requires assisted living services.,,S 45.1.b ,0euAq0000000UlZIAU,A registrant must ensure that a transition plan is developed for a resident that provides for ending a resident's residency if any of the following circumstances occur:the resident no longer requires assisted living services.
Planning and Support Agreements,String,A registrant must ensure that a transition plan is developed for a resident that provides for ending a resident's residency if any of the following circumstances occur:the resident expresses an intention to end the resident's residency.,,S 45.1.c ,0euAq0000000UlaIAE,A registrant must ensure that a transition plan is developed for a resident that provides for ending a resident's residency if any of the following circumstances occur:the resident expresses an intention to end the resident's residency.
Planning and Support Agreements,String,Registrant must develop a transition plan that provides for ending a resident's residency if the resident resides in an AL residence of the SU class and chooses to use a med that is not permitted under the med policy of the AL residence.,,S 45.1.d ,0euAq0000000UlbIAE,Registrant must develop a transition plan that provides for ending a resident's residency if the resident resides in an AL residence of the SU class and chooses to use a med that is not permitted under the med policy of the AL residence.
Health and Safety,String,"A registrant must ensure that a transition plan describes all of the following:when and by whom the resident will be moved out of the assisted living residence, and, if known, where the resident will be moved to.",,S 45.2.a ,0euAq0000000UlcIAE,"A registrant must ensure that a transition plan describes all of the following:when and by whom the resident will be moved out of the assisted living residence, and, if known, where the resident will be moved to."
Health and Safety,String,"Registrant must ensure transition plan describes how any risks to the H&S of the resident will be minimized before, during & after the move, including any changes to the AL services that will be provided to the resident while awaiting the move.",,S 45.2.b.i ,0euAq0000000UldIAE,"Registrant must ensure transition plan describes how any risks to the H&S of the resident will be minimized before, during & after the move, including any changes to the AL services that will be provided to the resident while awaiting the move."
Health and Safety,String,"Registrant must ensure transition plan describes risks to H&S of resident will be minimized before, during & after the move, & of an AL res of SU class, info or referrals re access to housing supports, pro hlth services & social services after the move.",,S 45.2.b.ii ,0euAq0000000UleIAE,"Registrant must ensure transition plan describes risks to H&S of resident will be minimized before, during & after the move, & of an AL res of SU class, info or referrals re access to housing supports, pro hlth services & social services after the move."
Residents' Rights,String,A registrant must ensure that a transition plan is developed with the participation ofthe resident.,,S 45.3.a ,0euAq0000000UlfIAE,A registrant must ensure that a transition plan is developed with the participation ofthe resident.
Residents' Rights,String,"A registrant must ensure that a transition plan is developed with the participation ofif the resident is the beneficiary of a funding program and to the extent it is reasonably practical to do so, a representative of the funding program.",,S 45.3.b ,0euAq0000000UlgIAE,"A registrant must ensure that a transition plan is developed with the participation ofif the resident is the beneficiary of a funding program and to the extent it is reasonably practical to do so, a representative of the funding program."
Residents' Rights,String,"A registrant must ensure that a transition plan is developed with the participation ofone or more of the following, if and as requested by the resident and to the extent it is reasonably practical to do so:the resident's contact person.",,S 45.3.c.i ,0euAq0000000UlhIAE,"A registrant must ensure that a transition plan is developed with the participation ofone or more of the following, if and as requested by the resident and to the extent it is reasonably practical to do so:the resident's contact person."
Residents' Rights,String,"A registrant must ensure that a transition plan is developed with the participation ofone or more of the following, if and as requested by the resident and to the extent it is reasonably practical to do so:the resident's personal representative, if any.",,S 45.3.c.ii ,0euAq0000000UliIAE,"A registrant must ensure that a transition plan is developed with the participation ofone or more of the following, if and as requested by the resident and to the extent it is reasonably practical to do so:the resident's personal representative, if any."
Residents' Rights,String,"Registrant must ensure that a transition plan is developed with the participation of one or more, if & as requested by the resident & to the extent reasonably practical to do so: the resident's med prac, nurse prac, or other appropriate hlth professional.",,S 45.3.c.iii ,0euAq0000000UljIAE,"Registrant must ensure that a transition plan is developed with the participation of one or more, if & as requested by the resident & to the extent reasonably practical to do so: the resident's med prac, nurse prac, or other appropriate hlth professional."
Administrative and Other Matters,String,"If residency ends unexpectedly, i.e. abandons the AL residence or required to leave under terms of resident's res agreement, a registrant must notify person's contact & if the person is the beneficiary of a funding program, a rep of the funding program.",,S 46.1.a ,0euAq0000000UlkIAE,"If residency ends unexpectedly, i.e. abandons the AL residence or required to leave under terms of resident's res agreement, a registrant must notify person's contact & if the person is the beneficiary of a funding program, a rep of the funding program."
Administrative and Other Matters,String,"If residency ends unexpectedly, i.e. abandons the AL residence or required to leave (terms of resident's res agreement) a registrant must unless not practicable provide the person info re access to housing supports, pro hlth services & social services.",,S 46.1.b.i ,0euAq0000000UllIAE,"If residency ends unexpectedly, i.e. abandons the AL residence or required to leave (terms of resident's res agreement) a registrant must unless not practicable provide the person info re access to housing supports, pro hlth services & social services."
Administrative and Other Matters,String,"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must unless not practicable provide a personal naloxone kit if  person is at risk of experiencing an opioid OD",,S 46.1.b.ii ,0euAq0000000UlmIAE,"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must unless not practicable provide a personal naloxone kit if  person is at risk of experiencing an opioid OD"
Administrative and Other Matters,String,"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must as practicable make a record of the event and of the actions taken under paragraphs .a.",,S 46.1.c ,0euAq0000000UlnIAE,"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must as practicable make a record of the event and of the actions taken under paragraphs .a."
Administrative and Other Matters,String,A registrant must make a plan describing the procedures to be followed topromote general health and hygiene amongst residents.,,S 47.1.a ,0euAq0000000UloIAE,A registrant must make a plan describing the procedures to be followed topromote general health and hygiene amongst residents.
Administrative and Other Matters,String,A registrant must make a plan describing the procedures to be followed toprevent the spread of infectious disease in the assisted living residence.,,S 47.1.b ,0euAq0000000UlpIAE,A registrant must make a plan describing the procedures to be followed toprevent the spread of infectious disease in the assisted living residence.
Health and Safety,String,"activated e-cig""TVPCA""canna""CCLA""e-cig""TVPCA ""med canna CCLA""ReAct""(a)activity that is a rcon;(b)gr/storage of canna;""rcon""(a)to smk/use tobac/hold lighted tobac;(b)use e-cig/hold activated e-cig;(c)smk/vape canna;""smk/vape canna s.60CCLA""tobac""TVPCA",,S 48.1 ,0euAq0000000UlqIAE,"activated e-cig""TVPCA""canna""CCLA""e-cig""TVPCA ""med canna CCLA""ReAct""(a)activity that is a rcon;(b)gr/storage of canna;""rcon""(a)to smk/use tobac/hold lighted tobac;(b)use e-cig/hold activated e-cig;(c)smk/vape canna;""smk/vape canna s.60CCLA""tobac""TVPCA"
Health and Safety,String,A registrant must ensure thatno one other than a resident engages in a restricted activity while on the premises of the assisted living residence.,,S 48.2.a ,0euAq0000000UlrIAE,A registrant must ensure thatno one other than a resident engages in a restricted activity while on the premises of the assisted living residence.
Health and Safety,String,A registrant must ensure thatemployees do not engage in restricted consumption while providing services to residents.,,S 48.2.b ,0euAq0000000UlsIAE,A registrant must ensure thatemployees do not engage in restricted consumption while providing services to residents.
Health and Safety,String,"A registrant must ensure thatif necessary for the safety of the resident, a resident who engages in restricted consumption is supervised.",,S 48.2.c ,0euAq0000000UltIAE,"A registrant must ensure thatif necessary for the safety of the resident, a resident who engages in restricted consumption is supervised."
Administrative and Other Matters,String,"A registrant must make a policy respecting all of the following:the engagement by residents in restricted activities, other than the consumption of medical cannabis, on the premises.",,S 48.3.a ,0euAq0000000UluIAE,"A registrant must make a policy respecting all of the following:the engagement by residents in restricted activities, other than the consumption of medical cannabis, on the premises."
Administrative and Other Matters,String,"A registrant must make a policy respecting all of the following:the possession and disposal by anyone of tobacco, e-cigarettes and cannabis, other than medical cannabis, on the premises.",,S 48.3.b ,0euAq0000000UlvIAE,"A registrant must make a policy respecting all of the following:the possession and disposal by anyone of tobacco, e-cigarettes and cannabis, other than medical cannabis, on the premises."
Administrative and Other Matters,String,A registrant must ensure that the policy required under subsection .4includes any restrictions on those activities on the premises.,,S 48.4.a ,0euAq0000000UlwIAE,A registrant must ensure that the policy required under subsection .4includes any restrictions on those activities on the premises.
Administrative and Other Matters,String,"A registrant must ensure that the policy required under subsection .5is consistent with the prohibitions and restrictions under the Cannabis Control and Licensing Act or the Tobacco and Vapour Products Control Act, as applicable.",,S 48.4.b ,0euAq0000000UlxIAE,"A registrant must ensure that the policy required under subsection .5is consistent with the prohibitions and restrictions under the Cannabis Control and Licensing Act or the Tobacco and Vapour Products Control Act, as applicable."
