AssessmentIndDefinition.ExternalId__c,AssessmentIndDefinition.Name,AssessmentIndDefinitionId,AssessmentTaskDefinition.Name,AssessmentTaskDefinitionId,DisplayOrder,ExternalId__c,Id
S 72.2.c ,A registrant who provides assistance with psychosocial supports must do all of the following:ensure that programs are appropriate given resident readiness to participate.,0eubZ00000001KHQAY,Residents' Rights MH Compliance,0Z4bZ00000000BzSAI,,Residents' Rights MH Compliance,MHULPGVTDMWSG8PJGL
S 72.2.d ,A registrant who provides assistance with psychosocial supports must do all of the following:post or otherwise provide to residents a calendar of the programs.,0eubZ00000001KIQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,RQMIJVYPZC0MLJJY2R
S 73.1.a ,All plans and policies that must be made under this regulation are made in writing.,0eubZ00000001KJQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,UDKZN0GFJ6IYT6CPKC
S 73.1.b ,All plans and policies that must be made under this regulation are implementated.,0eubZ00000001KKQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,OIWSK9SM0KVY66LFNJ
S 73.1.c ,All plans and policies that must be made under this regulation are available to employees having relevant duties and responsibilities.,0eubZ00000001KLQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,H6CQDHGW5HWNIJMOOH
S 73.1.d ,"all plans, policies that made under this reg are available residents, on request of a resident, the resident's contact person and personal rep., except the employee plan made under section 21 [employee plan]& a plan made in respect of a specific resident",0eubZ00000001KMQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,QE2AOAI2XWAA1EE2J5
S 73.2 ,A registrant must monitor and review regularly all operations of the assisted living residence to ensure compliance with the Act and this regulation.,0eubZ00000001KNQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,BI6AGOHHT5SLMSMRLD
S 74.a ,"For the purposes of carrying out a duty under this Act, a registrant may do both of the following:seek the consent, in writing, of a prospective resident or a resident to the collection and disclosure of personal information",0eubZ00000001KOQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,IJMPWWTHAIKMTN9UDA
S.74.b ,"For the purposes of carrying out a duty under this Act, a registrant (if consent under paragraph (a) is granted), request a health authority to disclose to the registrant personal information respecting the prospective resident or resident.",0eubZ00000001KPQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,KKTF9X3K9GS5YVUAC5
S. 75.  ,A registrant must not permit an employee to access the records and personal information of a resident except as necessary for the performance of the employee's duties.,0eubZ00000001KQQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,HMKGGDEPLBK9SZ7892
S. 76.a ,A registrant must keep a record for each resident that includes the resident's name and the date on which the person's residency started.,0eubZ00000001KRQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,ZIECE9KDFCYLNLWRGN
S. 76.b ,"A registrant must keep a record for each resident that includes the resident's original, signed residency agreement and any renewals and changes made to the agreement.",0eubZ00000001KSQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,ALP2QHFPHG0JAT7BJQ
S. 76.c ,"A registrant must keep a record for each resident that includes the name and current contact information of the resident's contact person and personal representative, if any.",0eubZ00000001KTQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,Y5FWOAZI39OIFIANZE
S. 76.d ,A registrant must keep a record for each resident that includes a current copy of the resident's signed personal service plan and transition plan.,0eubZ00000001KUQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,UBPZWU9FTCTMVGPWNO
S. 76.e ,"A registrant must keep a record for each resident that includes records made in respect of the resident under S 43 (3) (b) [resident concerns and complaints], 51 (2) (c) [reportable incidents] and 67 (2) (c) [administering medication], if any.",0eubZ00000001KVQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,OLJZFMD5CDUKTO4MEJ
S. 76.f ,"A registrant must keep a record for each resident that includes a record of accidents, illnesses or medication errors, if any, involving the resident that do not require medical attention and are not reportable incidents.",0eubZ00000001KWQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,PEOEUUTXJTFFSPLH6Y
S.77.a.i ,"A registrant must keep the following records: or each employee, the employee's name and the date on which the employee's employment began.",0eubZ00000001KXQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,RJVHXZSH2XNEREQ5PB
S.77.a.ii ,"A registrant must keep the following records: or each employee, the employee's job title and a notation of whether the employee is staff, a contractor or a volunteer.",0eubZ00000001KYQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,YGER67UHLBL5PZZ49C
S.77.a.iii ,"A registrant must keep the following records: or each employee,a copy of the records required under S 22 (1) [character and skill requirements] and, if applicable, 23 (1) [additional requirements for Supportive Recovery class].",0eubZ00000001KZQAY,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,C8WMPOZIO8KRUZU2YN
S. 77. b ,A registrant must keep records made or obtained for the purpose of ensuring compliance with S 22 (3) and 24 (2) [continuing obligations].,0eubZ00000001KaQAI,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,ANTWAX9E1TQFKQUM7C
S. 78. 1 ,"Subject to subsections (2) to (4), a registrant must keep all records referred to in this regulation for at least one year.",0eubZ00000001KbQAI,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,8MWONRAHXWJMSE56P6
S. 78. 2 ,A registrant must keep a record referred to in S 76 [resident records] for at least 2 years from the date the residency of the resident who is the subject of the record ends.,0eubZ00000001KcQAI,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,RDSJRAEW1LXOK311TD
S. 78. 3.a , A registrant must keep all signed original forms authorizing criminal record checks to be done until the earlier of the following: 5 years from the date on which the form was signed.,0eubZ00000001KdQAI,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,1RZSZE1L2FEO7OIOBP
S. 78. 3.b  ,A registrant must keep all signed original forms authorizing criminal record checks to be done until the earlier of the following: the date on which the employment of the employee who is the subject of the form ends.,0eubZ00000001KeQAI,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,RT3RQQE0FBN4P2VFFJ
S. 78. 4 ,A registrant must keep all records required under S 77 [employee records] for the entire time that the subject of the records is an employee.,0eubZ00000001KfQAI,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,BILL43BOTBMCJXXUBY
S. 79 ,A registrant must make all records referred to in this regulation available to the registrar on request of the registrar and within the period requested.,0eubZ00000001KgQAI,Administrative and Other Matters MH Compliance,0Z4bZ00000000BxSAI,,Administrative and Other Matters MH Compliance,W7I9V6SOPN8ZZE1RGA
S.31.1. Schedule C. 1.a ,A residency agreement must include all of the following:the names of the registrant and the resident.,0eubZ00000001KhQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,QZDLQVYPVI9ZLIDF6D
S.31.1. Schedule C. 1.b ,"A residency agreement must include all of the following:the name and contact information of the manager, if the registrant is not the manager.",0eubZ00000001KiQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,CZ4TQRY0Y6VHARVI8K
S.31.1. Schedule C. 1.c ,"A residency agreement must include all of the following:the names and contact information of the resident's contact person and personal representative, if any.",0eubZ00000001KjQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,MGWUNPVPBIMIXYCH1V
S.31.1. Schedule C. 1.d ,"A residency agreement must include all of the following:the purposes for which the registrant may contact the resident's contact person and personal representative, if any.",0eubZ00000001KkQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,92PDNYHVFSHWH2K79R
S.31.1. Schedule C. 2.a ,A residency agreement must include both of the following:the date on which the residency agreement is made.,0eubZ00000001KlQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,NY2LK9XEW4NS6FAA1S
S.31.1. Schedule C. 2.b ,A residency agreement must include both of the following:the date on which the resident is to start residing in the assisted living residence.,0eubZ00000001KmQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,G2NPYL8JJDE0WRDOIN
S.31.1. Schedule C. 3.a ,The following must be described in a residency agreement:the registrant's duties and responsibilities.,0eubZ00000001KnQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,LFTM0U4O4KUNVNBVMS
S.31.1. Schedule C. 3.b ,"The following must be described in a residency agreement:the hospitality services and assisted living services provided by the registrant, including dietary accommodations, if any.",0eubZ00000001KoQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,2ZMWHAV0VAF2U3RTGJ
S.31.1. Schedule C. 3.c ,"The following must be described in a residency agreement:the general level and type of training, experience, skills and other qualifications of the employees who provide assisted living services.",0eubZ00000001KpQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,CPTIFZ1KTFGKCQGQQR
S.31.1. Schedule C. 3.d ,The following must be described in a residency agreement:the rules of the assisted living residence.,0eubZ00000001KqQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,ZAAKHTVIPS5TK2NFJE
S.31.1. Schedule C. 3.e ,The following must be described in a residency agreement:any electronic surveillance or tracking used at the assisted living residence.,0eubZ00000001KrQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,QTS7NNDHVBFRDSK6ON
S.31.1. Schedule C. 3.f ,The following must be described in a residency agreement:the rights of residents as those rights relate to residing in the assisted living residence.,0eubZ00000001KsQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,KSJF8P66K5ABLY6J2T
S.31.1. Schedule C. 3.g ,The following must be described in a residency agreement:the resident's responsibilities.,0eubZ00000001KtQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,WIQVU29L4Z1FDSGTEA
S.31.1. Schedule C. 3.h ,"The following must be described in a residency agreement:whether any persons residing in the assisted living residence are not residents and, if so, whether those persons will have access to the common areas of the assisted living residence.",0eubZ00000001KuQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,RVNWGGQUWRLZGVHYPA
S.31.1.Schedule C. 3.i ,The following must be described in a residency agreement:the circumstances under which the resident may no longer reside in the assisted living residence and the criteria that will guide a decision to end the resident's residency.,0eubZ00000001KvQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,SC9HNEWOWZVHA18K6G
S.31.1. Schedule C. 4.a ,A residency agreement must include an itemized list of all fees payable by the resident for residency.,0eubZ00000001KwQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,WTLHEQ9M7D759SH6CK
S.31.1. Schedule C. 4.b ,A residency agreement must include a description of the circumstances under which the fees may change.,0eubZ00000001KxQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,CJENFZVEFL0I5H9LD8
S.31.1. Schedule C. 4.c ,A residency agreement must include a statement of when residency fees are due.,0eubZ00000001KyQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,RFL9YUKLF2ODPTVNJN
S.31.1. Schedule C. 4.d ,A residency agreement must include a description of all optional services and the fees for each of them.,0eubZ00000001KzQAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,2IBEJ4IFQWP8EAL8NC
S.31.1. Schedule C. 4.e ,A residency agreement must include  the terms and conditions for the payment and refund of fees.,0eubZ00000001L0QAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,HIKRCFKQLKTMVJVAIN
S.31.1. Schedule C. 4.f ,A residency agreement must include a statement of the amount of any security or damage deposit paid or payable.,0eubZ00000001L1QAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,EY36DXAEVFNEYSR0GX
S.31.1. Schedule C. 5.a ,A residency agreement must describe the circumstances in which the residency agreement may be changed.,0eubZ00000001L2QAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,3SVJ2LLVH7CCYX5UIL
S.31.1. Schedule C. 5.b ,"A residency agreement must describe the procedures to be used to change the residency agreement, including respecting the giving of advance notice of proposed changes.",0eubZ00000001L3QAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,QQ2ICWZTBOKNQ8CUOS
S.31.1. Schedule C. 5.c ,"A residency agreement must describe the changes, if any, that the registrant may make to the residency agreement without the consent of the resident.",0eubZ00000001L4QAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,HQRUGR2LS3BIDOC39L
S.33.1.a. Schedule D.1 ,"A personal service plan must identify, and describe the nature and scope of, the hospitality services and assisted living services to be provided to a resident, taking into consideration the resident's needs, capabilities and preferences.",0eubZ00000001L9QAI,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,CYRGPEL0GTWYMQ1HQP
S.33.1.a. Schedule D.2 ,A personal service plan must not include a hospitality service or an assisted living service that has not been approved by the resident under S 33 (3) (b) [personal service plan] of the regulation.,0eubZ00000001LAQAY,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,EXTMYHFIO04MRZOMO2
S.33.1.a. Schedule D. 1 ,"If a resident requires a therapeutic diet, the resident's personal service plan must include an individual dietary plan.",0eubZ00000001LBQAY,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,M9ECJFEU99EAWFLXLF
S.33.1.a. Schedule D. 2 ,"If a resident is receiving assistance with behaviour management, the resident's personal service plan must include a behaviour management plan.",0eubZ00000001LCQAY,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,K9MILFU6INKZ5U5QM4
S.33.1.a. Schedule D. 3 ,"If a resident is receiving assistance with managing meds, the resident's PSP must describe the supports, if any, the resident needs to administer the meds safely, taking into consideration that resident's needs and capabilities.",0eubZ00000001LDQAY,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,BD3D0JUNJYMHMMJEGQ
S.33.1.a. Schedule D. 4 ,"If a resident is receiving dietary accommodations to meet the resident's nutritional needs, including food allergies or intolerances and cultural, spiritual or personal preferences, the resident's PSP must describe those accommodations.",0eubZ00000001LEQAY,Planning and Support Agreements MH Compliance,0Z4bZ00000000BySAI,,Planning and Support Agreements MH Compliance,CCT9YO6LRKKAWZR7EF
S 15.2.a,"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",0eubZ00000001FZQAY,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,D8K221IHBOAKLO1CIY
S 16.1,"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",0eubZ00000001FbQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,MFISGPBERJIRX6QVJH
S 16.2,A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,0eubZ00000001FcQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,CCV9IUDCZVGVET7TDE
S 17.1.a,"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",0eubZ00000001FdQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,WLZHGMJKRKWN1S27SP
S 17.1.b,A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,0eubZ00000001FeQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,ALZEPWMZBTIYUFWDJX
S 17.1.c ,A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,0eubZ00000001FfQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,C1PEK50IHP3G0JSD3I
S 17.1.d,A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,0eubZ00000001FgQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,XBIOFR7OX2KXGQC3YJ
S 17.2,"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",0eubZ00000001FhQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,A8UWEXWXAZEQGUGJ4Q
S 17.3.a ,A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,0eubZ00000001FiQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,GXJDSAYR4JHMTY1R6N
S 17.3.b ,A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,0eubZ00000001FjQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,O4JH8ZOQFOGODLD5PU
S 18.1.a ,A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.,0eubZ00000001FkQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,P4YLFRPA6XVLCE4RY5
S 18.1.b ,A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.,0eubZ00000001FlQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,XHD2BKYNIENZGE346W
S 18.1.c ,A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.,0eubZ00000001FmQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,EYDLFPNKHPG5KE56GS
S 18.2.a ,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for the resident to securely store money and personal property.",0eubZ00000001FnQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,JYLNUMGSRE1QRAMN2Y
S 18.2.b ,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for resident’s use to securely store money and personal property & permit furniture/equip and personal property unless it would jeopardize the H&S of others.",0eubZ00000001FoQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,FUUEEYYXZTTYFAAU8L
S 19.1 ,A registrant must ensure that the assisted living residence is secured in a manner that protects residents from entry by unauthorized persons.,0eubZ00000001FpQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,MLZFXPOL4LX8MJANV0
S 19.2 ,"A registrant must ensure that units are accessible in an emergency, including that locked units may be unlocked from the outside.",0eubZ00000001FqQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,RP6DCHCWLLHMMLG12T
S 19.3.a ,A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units.,0eubZ00000001FrQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,TG40ANIHXDEGPSRJL3
S 19.3.b ,"A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units that, subject to subsection (2), residents may control access to their own units.",0eubZ00000001FsQAI,Housing SN Application,0Z4bZ00000000BKSAY,,Housing SN Application,D7R7QYKYRR5SLWSWE2
S 19.4 ,A registrant must ensure that emergency exits and egress windows are not obstructed or secured in a manner that may hinder exit in an emergency.,0eubZ00000001FtQAI,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,LXXZPK6ANE1ECHR9NI
S 22.1.a.i ,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a criminal record check for the person.",0eubZ00000001FzQAI,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,RV7PHVLKY0VH4UZZQS
S 22.1.a.ii ,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a record of the person's work history.",0eubZ00000001G0QAI,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,QJPGCNUYHCMRXY6U5E
S 22.1.a.iii ,"Subject to subsections (2) & (3), a registrant must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of any diplomas, certificates or other evidence of training, experience, skills, & other qualifications.",0eubZ00000001G1QAI,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,JSRAEP1EPQ3UXSKDVW
S 22.1.a.iv ,"Subject to subsections (2) & (3), must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of diplomas, certificates or other evidence of the person's training, experience, skills, & other qualifications.",0eubZ00000001G2QAI,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,H3OHLR0QHS2PMWBJH9
S 22.1.b.i ,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, is satisfied that the person is of good character.",0eubZ00000001G3QAI,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,AK6QRZL49WGIRUZBQD
S 22.1.b.ii ,"Subject to subsections (2) and (3), registrant must not employ a person in an AL residence unless the registrant or manager, is satisfied that the person has the personality, ability and temperament necessary to provide services to residents",0eubZ00000001G4QAI,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,BP7NLCQ99K0L0O2QL3
S 22.1.b.iii ,"Subject to subsections (2) & (3), must not employ a person in an AL Res unless the registrant or manager is satisfied the person has the training, experience ,qualifications & demonstrates skills, necessary to the assigned duties & responsibilities.",0eubZ00000001G5QAI,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,J0OEZPXA5GOIHG4BYR
S 25.1.a ,"A registrant must make an emergency response plan that describes the procedures to be followed to prepare for, mitigate, respond to and recover from an emergency at the assisted living residence",0eubZ00000001GRQAY,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,A2ECRVUYCSLWHA3SKT
S 25.3 ,"Registrant must ensure all employees, other than a volunteer to whom section 22 (2) [character and skill requirements] applies, are trained in the implementation of the emergency response plan, including in the use of equipment referred to in the plan.",0eubZ00000001GXQAY,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,DMCANIXSWRTOWMI8LC
S 26.1 ,A registrant must display prominently throughout the assisted living residence evacuation procedures and a diagram of the location of emergency exits.,0eubZ00000001GYQAY,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,WUR7Q7EESD5YFR8XOY
S 26.2 ,A registrant must ensure that the assisted living residence has emergency exits and egress windows that are appropriate to resident needs and capabilities.,0eubZ00000001GZQAY,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,EZB0DOJKW519IS7KKX
S 26.3 ,A registrant must ensure that reliable communication equipment is accessible to all employees during an emergency.,0eubZ00000001GaQAI,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,KTEJJ285AF9NUZRX4O
S 26.4.a.i ,"A registrant must ensure that fire protection equipment is inspected, tested and maintained, in accordance with the recommendations, if any, of the manufacture.",0eubZ00000001GbQAI,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,D3IL70G1PFU6MNVW6Q
S 26.4.a.ii ,"A registrant must ensure that fire protection equipment is inspected, tested and maintained  at least annually.",0eubZ00000001GcQAI,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,YF6BL0KI1TCDLVBLVQ
S 26.4.b ,"A registrant must ensure that other emergency equipment is inspected, tested and maintained in accordance with the recommendations, if any, of the manufacturer.",0eubZ00000001GdQAI,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,OLSI37NGCNJO1PBTLS
S 27.1 ,"A registrant must ensure that, at all times, an employee who holds a valid first aid and CPR certificate, provided on completing a course that meets the requirements of Schedule B, is readily accessible to residents.",0eubZ00000001GfQAI,Employees/Staff SN Application,0Z4bZ00000000BMSAY,,Employees/Staff SN Application,TM4RZHI5TBM1CMNI71
S 27.2 ,A registrant must have first aid supplies readily accessible to all employees.,0eubZ00000001GgQAI,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,MNDQLXJ3WHJRITMMMA
S 28.2 ,A registrant must make a plan describing the procedures to be followed to prevent and respond to opioid overdoses by residents.,0eubZ00000001GjQAI,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,GBMG1PK7GFTN79EDXI
S 28.3.a ,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that naloxone and related supplies are readily accessible to all employees and residents.",0eubZ00000001GkQAI,Emergency Preparedness SN Application,0Z4bZ00000000BLSAY,,Emergency Preparedness SN Application,HEOE80EZB9P1K6F0WJ
S 28.3.b ,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all employees are trained in how to administer naloxone.",0eubZ00000001GlQAI,Employees/Staff SN Application,0Z4bZ00000000BMSAY,,Employees/Staff SN Application,XW2AGDDMSSS6NOAR5X
S 36.1 , A registrant must display in a prominent place in the assisted living residence a statement of the rights of residents.,0eubZ00000001HRQAY,Residents' Rights SN Application,0Z4bZ00000000BPSAY,,Residents' Rights SN Application,TH1N0ZG3PAKR2NGAMA
S 39.2 ,A registrant must not use electronic surveillance in a unit or washroom.,0eubZ00000001HdQAI,Residents' Rights SN Application,0Z4bZ00000000BPSAY,,Residents' Rights SN Application,K4NQ3TFHSBBR8ZBVX5
S 43.2 ,A registrant must display in a prominent place in the assisted living residence the information described in section 31 (3) (b) [residency agreement] respecting complaints to the registrar.,0eubZ00000001HsQAI,Residents' Rights SN Application,0Z4bZ00000000BPSAY,,Residents' Rights SN Application,OMWWJCZDO508O2LEL4
S 46.1.b.ii ,"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must unless not practicable provide a personal naloxone kit if  person is at risk of experiencing an opioid OD",0eubZ00000001IMQAY,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,AUVR9XEB1FFQBQRF9C
S 47.1.a ,A registrant must make a plan describing the procedures to be followed topromote general health and hygiene amongst residents.,0eubZ00000001IOQAY,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,NGVNVJ2BCFIQS02DPO
S 47.1.b ,A registrant must make a plan describing the procedures to be followed toprevent the spread of infectious disease in the assisted living residence.,0eubZ00000001IPQAY,Administrative and Other Matters SN Application,0Z4bZ00000000BNSAY,,Administrative and Other Matters SN Application,R2RKJE4GBINYEK096M
