AssessmentIndDefinition.ExternalId__c,AssessmentIndDefinition.Name,AssessmentIndDefinitionId,ExternalId__c,ExternalId__c (Assessment Indicator Definition),ExternalId__c Reg Code,Id,RegulatoryCode.ExternalId__c,RegulatoryCode.RegulatoryAuthorityId,RegulatoryCodeId
S 29.1.c.ii ,"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the H&S of that person or of any other resident, given the AL services provided by or through the registrant.",0eubZ00000001GqQAI,S 29.1.c.ii ,S 29.1.c.ii ,S 29.1.c.ii ,0fMbZ00000000kaUAA,S 29.1.c.ii ,19pbZ00000002kzQAA,0fCbZ00000000r2UAA
S 30.1.a ,"Before making a Res agreement, prospective resident must be given a copy of all of the following,& inform appro to person's needs & capabilities the contents of materials given: the shared common areas policy made under s.15 [if > one class or non-res]",0eubZ00000001GrQAI,S 30.1.a ,S 30.1.a ,S 30.1.a ,0fMbZ00000000kbUAA,S 30.1.a ,19pbZ00000002kzQAA,0fCbZ00000000r3UAA
S 30.1.b ,"Before making a res agreement, prospective resident must receive a copy of the following, & inform the prospective resident appro to person's needs & capabilities of the contents of materials given: the visitation & communication policy under s. 41 .2.",0eubZ00000001GsQAI,S 30.1.b ,S 30.1.b ,S 30.1.b ,0fMbZ00000000kcUAA,S 30.1.b ,19pbZ00000002kzQAA,0fCbZ00000000r4UAA
S 30.1.c ,"Before making a res agreement, prospective resident must receive a copy & be informed  appropriate to the person's needs & capabilities the contents of the materials given: the complaint policy under s. 43 .1.",0eubZ00000001GtQAI,S 30.1.c ,S 30.1.c ,S 30.1.c ,0fMbZ00000000kdUAA,S 30.1.c ,19pbZ00000002kzQAA,0fCbZ00000000r5UAA
S 30.1.d ,"Before making a res agreement, registrant must give prospective resident a copy of & inform the prospective resident appropriate to that person's needs & capabilities of the contents of the materials given: the end of residency policy made under s.44 .1.",0eubZ00000001GuQAI,S 30.1.d ,S 30.1.d ,S 30.1.d ,0fMbZ00000000keUAA,S 30.1.d ,19pbZ00000002kzQAA,0fCbZ00000000r6UAA
S 30.1.e ,"Before making a res agreement, registrant must give  the prospective resident a copy of & inform the prospective resident appropriate to that person's needs and capabilities of the contents of the materials given: the medication policy, if applicable.",0eubZ00000001GvQAI,S 30.1.e ,S 30.1.e ,S 30.1.e ,0fMbZ00000000kfUAA,S 30.1.e ,19pbZ00000002kzQAA,0fCbZ00000000r7UAA
S 30.1.f ,"Before making a residency agreement, Registrant must give to the prospective resident a copy of & inform the prospective resident appropriate to that person's needs & capabilities of the contents of materials given: cannabis policy made under s. 48 .3.",0eubZ00000001GwQAI,S 30.1.f ,S 30.1.f ,S 30.1.f ,0fMbZ00000000kgUAA,S 30.1.f ,19pbZ00000002kzQAA,0fCbZ00000000r8UAA
S 31.1 ,A registrant may accept a person as a resident by making a written residency agreement with the person that includes all of the applicable content set out in Schedule C.,0eubZ00000001GxQAI,S 31.1 ,S 31.1 ,S 31.1 ,0fMbZ00000000khUAA,S 31.1 ,19pbZ00000002kzQAA,0fCbZ00000000r9UAA
S 31.2 ,"Before making a residency agreement, a registrant must inform the prospective resident in a manner that is appropriate to that person's needs and capabilities of the contents of the agreement.",0eubZ00000001GyQAI,S 31.2 ,S 31.2 ,S 31.2 ,0fMbZ00000000kiUAA,S 31.2 ,19pbZ00000002kzQAA,0fCbZ00000000rAUAQ
S 31.3.a ,"On signing a residency agreement, a registrant must give to the resident a copy of the residency agreement.",0eubZ00000001GzQAI,S 31.3.a ,S 31.3.a ,S 31.3.a ,0fMbZ00000000kjUAA,S 31.3.a ,19pbZ00000002kzQAA,0fCbZ00000000rBUAQ
S 31.3.b ,"On signing a res agreement, registrant must give to the resident written information to contact the registrar to make a complaint,& the registrar's contact info, & inform the resident of the contents of materials given.",0eubZ00000001H0QAI,S 31.3.b ,S 31.3.b ,S 31.3.b ,0fMbZ00000000kkUAA,S 31.3.b ,19pbZ00000002kzQAA,0fCbZ00000000rCUAQ
S 31.4.a ,For the purposes of subsection .4 the resident or the resident's personal representative.,0eubZ00000001H1QAI,S 31.4.a ,S 31.4.a ,S 31.4.a ,0fMbZ00000000klUAA,S 31.4.a ,19pbZ00000002kzQAA,0fCbZ00000000rDUAQ
S 31.4.b ,"For the purposes of subsection .5 the registrant, the manager or a person authorized to sign residency agreements on behalf of the registrant.",0eubZ00000001H2QAI,S 31.4.b ,S 31.4.b ,S 31.4.b ,0fMbZ00000000kmUAA,S 31.4.b ,19pbZ00000002kzQAA,0fCbZ00000000rEUAQ
S 32.1 ,"On accepting a person as a resident, registrant must ensure a short-term service plan is developed for the resident, with sufficient information to guide employees in protecting & promoting the resident's H&S until a personal service plan is developed.",0eubZ00000001H3QAI,S 32.1 ,S 32.1 ,S 32.1 ,0fMbZ00000000knUAA,S 32.1 ,19pbZ00000002kzQAA,0fCbZ00000000rFUAQ
S 33.1.a ,"A registrant must ensure that a personal service plan is developed for a resident that includes all of the applicable content set out in Schedule D,",0eubZ00000001H4QAI,S 33.1.a ,S 33.1.a ,S 33.1.a ,0fMbZ00000000koUAA,S 33.1.a ,19pbZ00000002kzQAA,0fCbZ00000000rGUAQ
S 33.1.b.i ,Registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail to enable employees to understand their duties & responsibilities in achieving the objectives of protecting and promoting the resident's H&S.,0eubZ00000001H5QAI,S 33.1.b.i ,S 33.1.b.i ,S 33.1.b.i ,0fMbZ00000000kpUAA,S 33.1.b.i ,19pbZ00000002kzQAA,0fCbZ00000000rHUAQ
S 33.1.b.ii ,A registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail to enable employees to understand their duties and responsibilities in achieving the objectives of meeting the resident's needs.,0eubZ00000001H6QAI,S 33.1.b.ii ,S 33.1.b.ii ,S 33.1.b.ii ,0fMbZ00000000kqUAA,S 33.1.b.ii ,19pbZ00000002kzQAA,0fCbZ00000000rIUAQ
S 33.1.b.iii ,"Registrant must ensure that a personal service plan is developed for a resident that provides sufficient detail for employees to understand their duties & responsibilities to meet the objectives of achieving the resident's personal goals, if applicable.",0eubZ00000001H7QAI,S 33.1.b.iii ,S 33.1.b.iii ,S 33.1.b.iii ,0fMbZ00000000krUAA,S 33.1.b.iii ,19pbZ00000002kzQAA,0fCbZ00000000rJUAQ
S 33.1.c ,"A registrant must ensure that a personal service plan is developed for a resident that takes into consideration the cultural, spiritual and personal preferences of the resident.",0eubZ00000001H8QAI,S 33.1.c ,S 33.1.c ,S 33.1.c ,0fMbZ00000000ksUAA,S 33.1.c ,19pbZ00000002kzQAA,0fCbZ00000000rKUAQ
S 33.2.a ,"A registrant must ensure that a personal service plan is developed within the following period after the resident starts to reside in the assisted living residence: 7 days, in the case of an assisted living residence of the Supportive Recovery class.",0eubZ00000001H9QAI,S 33.2.a ,S 33.2.a ,S 33.2.a ,0fMbZ00000000ktUAA,S 33.2.a ,19pbZ00000002kzQAA,0fCbZ00000000rLUAQ
S 33.2.b ,"Registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate: if there is any substantial change to the nature or scope of the hospitality services or AL services being provided to the resident.",0eubZ00000001HAQAY,S 33.2.b ,S 33.2.b ,S 33.2.b ,0fMbZ00000000kuUAA,S 33.2.b ,19pbZ00000002kzQAA,0fCbZ00000000rMUAQ
S 33.3.a.i ,A registrant must ensure that a personal service plan is developed with the participation of the resident.,0eubZ00000001HBQAY,S 33.3.a.i ,S 33.3.a.i ,S 33.3.a.i ,0fMbZ00000000kvUAA,S 33.3.a.i ,19pbZ00000002kzQAA,0fCbZ00000000rNUAQ
S 33.3.a.ii ,"A registrant must ensure that a personal service plan is developed with the participation of to the extent it is reasonably practicable to do so, the persons whom the resident requests to participate.",0eubZ00000001HCQAY,S 33.3.a.ii ,S 33.3.a.ii ,S 33.3.a.ii ,0fMbZ00000000kwUAA,S 33.3.a.ii ,19pbZ00000002kzQAA,0fCbZ00000000rOUAQ
S 33.3.b ,A registrant must ensure that a personal service plan is approved by the resident.,0eubZ00000001HDQAY,S 33.3.b ,S 33.3.b ,S 33.3.b ,0fMbZ00000000kxUAA,S 33.3.b ,19pbZ00000002kzQAA,0fCbZ00000000rPUAQ
S 33.4 ,A registrant must give to the resident a signed copy of the resident's personal service plan.,0eubZ00000001HEQAY,S 33.4 ,S 33.4 ,S 33.4 ,0fMbZ00000000kyUAA,S 33.4 ,19pbZ00000002kzQAA,0fCbZ00000000rQUAQ
S 33.5.a ,For the purposes of subsection (5) the resident or the resident's personal representative.,0eubZ00000001HFQAY,S 33.5.a ,S 33.5.a ,S 33.5.a ,0fMbZ00000000kzUAA,S 33.5.a ,19pbZ00000002kzQAA,0fCbZ00000000rRUAQ
S 33.5.b ,"For the purposes of subsection (6) the registrant, the manager or a person authorized to sign personal service plans on behalf of the registrant.",0eubZ00000001HGQAY,S 33.5.b ,S 33.5.b ,S 33.5.b ,0fMbZ00000000l0UAA,S 33.5.b ,19pbZ00000002kzQAA,0fCbZ00000000rSUAQ
S 34.1 ,A registrant must ensure that a resident's personal service plan is implemented.,0eubZ00000001HHQAY,S 34.1 ,S 34.1 ,S 34.1 ,0fMbZ00000000l1UAA,S 34.1 ,19pbZ00000002kzQAA,0fCbZ00000000rTUAQ
S 34.2 ,A registrant must ensure that the implementation of a resident's personal service plan is monitored regularly to ensure that the plan is achieving its objectives.,0eubZ00000001HIQAY,S 34.2 ,S 34.2 ,S 34.2 ,0fMbZ00000000l2UAA,S 34.2 ,19pbZ00000002kzQAA,0fCbZ00000000rUUAQ
S 35.1.a ,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:at least monthly, in the case of an assisted living residence of the Supportive Recovery class.",0eubZ00000001HJQAY,S 35.1.a ,S 35.1.a ,S 35.1.a ,0fMbZ00000000l3UAA,S 35.1.a ,19pbZ00000002kzQAA,0fCbZ00000000rVUAQ
S 35.1.b ,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:at least annually, in the case of an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class.",0eubZ00000001HKQAY,S 35.1.b ,S 35.1.b ,S 35.1.b ,0fMbZ00000000l4UAA,S 35.1.b ,19pbZ00000002kzQAA,0fCbZ00000000rWUAQ
S 35.1.c ,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:on request of the resident.",0eubZ00000001HLQAY,S 35.1.c ,S 35.1.c ,S 35.1.c ,0fMbZ00000000l5UAA,S 35.1.c ,19pbZ00000002kzQAA,0fCbZ00000000rXUAQ
S 35.1.d ,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:if monitoring under section 34 .2.",0eubZ00000001HMQAY,S 35.1.d ,S 35.1.d ,S 35.1.d ,0fMbZ00000000l6UAA,S 35.1.d ,19pbZ00000002kzQAA,0fCbZ00000000rYUAQ
S 35.1.e.i ,"A registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate:if there is any substantial change tothe resident's needs or capabilities.",0eubZ00000001HNQAY,S 35.1.e.i ,S 35.1.e.i ,S 35.1.e.i ,0fMbZ00000000l7UAA,S 35.1.e.i ,19pbZ00000002kzQAA,0fCbZ00000000rZUAQ
S 35.1.e.ii ,"Registrant must ensure that a resident's personal service plan is reviewed as follows and revised, if appropriate: if there is any substantial change to the nature or scope of the hospitality services or AL services being provided to the resident.",0eubZ00000001HOQAY,S 35.1.e.ii ,S 35.1.e.ii ,S 35.1.e.ii ,0fMbZ00000000l8UAA,S 35.1.e.ii ,19pbZ00000002kzQAA,0fCbZ00000000raUAA
S 35.2 ,Section 33 (3) [personal service plan] applies to the revision of a resident's personal service plan.,0eubZ00000001HPQAY,S 35.2 ,S 35.2 ,S 35.2 ,0fMbZ00000000l9UAA,S 35.2 ,19pbZ00000002kzQAA,0fCbZ00000000rbUAA
S 35.3 ,"On request of a resident, a registrant must give to the resident a signed copy of that resident's revised personal service plan, and section  33 (5) applies for this purpose.",0eubZ00000001HQQAY,S 35.3 ,S 35.3 ,S 35.3 ,0fMbZ00000000lAUAQ,S 35.3 ,19pbZ00000002kzQAA,0fCbZ00000000rcUAA
S 36.1 , A registrant must display in a prominent place in the assisted living residence a statement of the rights of residents.,0eubZ00000001HRQAY,S 36.1 ,S 36.1 ,S 36.1 ,0fMbZ00000000lBUAQ,S 36.1 ,19pbZ00000002kzQAA,0fCbZ00000000rdUAA
S 37.1.a ,A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy describingthe types of medications that are accommodated on the premises.,0eubZ00000001HSQAY,S 37.1.a ,S 37.1.a ,S 37.1.a ,0fMbZ00000000lCUAQ,S 37.1.a ,19pbZ00000002kzQAA,0fCbZ00000000reUAA
S 37.1.b ,"A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy describingthe medications, if any, that are not permitted on the premises.",0eubZ00000001HTQAY,S 37.1.b ,S 37.1.b ,S 37.1.b ,0fMbZ00000000lDUAQ,S 37.1.b ,19pbZ00000002kzQAA,0fCbZ00000000rfUAA
S 38.1.a ,A registrant must not do any of the following unless one of the circumstances described in subsection .3intervene in the making of a personal decision by a resident or when a resident is carrying out a personal decision.,0eubZ00000001HUQAY,S 38.1.a ,S 38.1.a ,S 38.1.a ,0fMbZ00000000lEUAQ,S 38.1.a ,19pbZ00000002kzQAA,0fCbZ00000000rgUAA
S 38.1.b ,A registrant must not do any of the following unless one of the circumstances described in subsection .4prevent a resident from carrying out a personal decision.,0eubZ00000001HVQAY,S 38.1.b ,S 38.1.b ,S 38.1.b ,0fMbZ00000000lFUAQ,S 38.1.b ,19pbZ00000002kzQAA,0fCbZ00000000rhUAA
S 38.2.a ,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:there is an imminent risk of serious harm to the resident.,0eubZ00000001HWQAY,S 38.2.a ,S 38.2.a ,S 38.2.a ,0fMbZ00000000lGUAQ,S 38.2.a ,19pbZ00000002kzQAA,0fCbZ00000000riUAA
S 38.2.b ,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the resident may be subject to abuse within the meaning of Schedule E.,0eubZ00000001HXQAY,S 38.2.b ,S 38.2.b ,S 38.2.b ,0fMbZ00000000lHUAQ,S 38.2.b ,19pbZ00000002kzQAA,0fCbZ00000000rjUAA
S 38.2.c.i ,Registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances: the failure to intervene or to prevent the resident from carrying out the decision may jeopardize the H&S of other persons.,0eubZ00000001HYQAY,S 38.2.c.i ,S 38.2.c.i ,S 38.2.c.i ,0fMbZ00000000lIUAQ,S 38.2.c.i ,19pbZ00000002kzQAA,0fCbZ00000000rkUAA
S 38.2.c.ii ,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the failure to intervene or to prevent the resident from carrying out the decision maybe neglect within the meaning of Schedule E.,0eubZ00000001HZQAY,S 38.2.c.ii ,S 38.2.c.ii ,S 38.2.c.ii ,0fMbZ00000000lJUAQ,S 38.2.c.ii ,19pbZ00000002kzQAA,0fCbZ00000000rlUAA
S 38.2.d ,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the registrant is acting in accordance with the resident's residency agreement or personal service plan.,0eubZ00000001HaQAI,S 38.2.d ,S 38.2.d ,S 38.2.d ,0fMbZ00000000lKUAQ,S 38.2.d ,19pbZ00000002kzQAA,0fCbZ00000000rmUAA
S 38.2.e ,A registrant may intervene or prevent a resident from carrying out a personal decision in any of the following circumstances:the registrant is taking an action required or permitted under the Adult Guardianship Act or another enactment.,0eubZ00000001HbQAI,S 38.2.e ,S 38.2.e ,S 38.2.e ,0fMbZ00000000lLUAQ,S 38.2.e ,19pbZ00000002kzQAA,0fCbZ00000000rnUAA
S 39.1 ,"A registrant must, to the greatest extent possible while maintaining the health and safety of all residents, ensure respect for the personal privacy of each resident, including the privacy of each resident's unit, belongings and storage area.",0eubZ00000001HcQAI,S 39.1 ,S 39.1 ,S 39.1 ,0fMbZ00000000lMUAQ,S 39.1 ,19pbZ00000002kzQAA,0fCbZ00000000roUAA
S 39.2 ,A registrant must not use electronic surveillance in a unit or washroom.,0eubZ00000001HdQAI,S 39.2 ,S 39.2 ,S 39.2 ,0fMbZ00000000lNUAQ,S 39.2 ,19pbZ00000002kzQAA,0fCbZ00000000rpUAA
S 40.1.a ,"A registrant must do both of the following:monitor residents' health and safety, taking reasonable steps to avoid undue interference with personal privacy.",0eubZ00000001HeQAI,S 40.1.a ,S 40.1.a ,S 40.1.a ,0fMbZ00000000lOUAQ,S 40.1.a ,19pbZ00000002kzQAA,0fCbZ00000000rqUAA
S 40.1.b ,"A registrant must do both of the following:advise a resident and, if appropriate, a resident's contact person if the resident's health or safety is or may be jeopardized.",0eubZ00000001HfQAI,S 40.1.b ,S 40.1.b ,S 40.1.b ,0fMbZ00000000lPUAQ,S 40.1.b ,19pbZ00000002kzQAA,0fCbZ00000000rrUAA
S 40.2.a ,"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 38 [respect for personal decisions].",0eubZ00000001HgQAI,S 40.2.a ,S 40.2.a ,S 40.2.a ,0fMbZ00000000lQUAQ,S 40.2.a ,19pbZ00000002kzQAA,0fCbZ00000000rsUAA
S 40.2.b ,"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 39 [respect for resident privacy].",0eubZ00000001HhQAI,S 40.2.b ,S 40.2.b ,S 40.2.b ,0fMbZ00000000lRUAQ,S 40.2.b ,19pbZ00000002kzQAA,0fCbZ00000000rtUAA
S 40.2.c ,"For greater certainty, a registrant who complies with this section does not contravene any of the following sections:section 61 (3) [decisions respecting health professionals or medication].",0eubZ00000001HiQAI,S 40.2.c ,S 40.2.c ,S 40.2.c ,0fMbZ00000000lSUAQ,S 40.2.c ,19pbZ00000002kzQAA,0fCbZ00000000ruUAA
S 41.1 ,Registrant of MH/SN class must maintain H&S of all residents and ensure that a res may receive at any time and communicate privately with visitors of the res choice,0eubZ00000001HjQAI,S 41.1 ,S 41.1 ,S 41.1 ,0fMbZ00000000lTUAQ,S 41.1 ,19pbZ00000002kzQAA,0fCbZ00000000rvUAA
S 41.2 ,"A registrant who operates an assisted living residence of the Supportive Recovery class must make a policy respecting visitation by and communication with non-residents, including any restrictions on these activities.",0eubZ00000001HkQAI,S 41.2 ,S 41.2 ,S 41.2 ,0fMbZ00000000lUUAQ,S 41.2 ,19pbZ00000002kzQAA,0fCbZ00000000rwUAA
S 42.1.a ,A registrant who operates an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class must survey all residents to determine resident satisfaction with the operation of the assisted living residence,0eubZ00000001HlQAI,S 42.1.a ,S 42.1.a ,S 42.1.a ,0fMbZ00000000lVUAQ,S 42.1.a ,19pbZ00000002kzQAA,0fCbZ00000000rxUAA
S 42.1.b ,A registrant who operates an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class must survey all residents to determine resident satisfaction with the provision of hospitality services and assisted living services,0eubZ00000001HmQAI,S 42.1.b ,S 42.1.b ,S 42.1.b ,0fMbZ00000000lWUAQ,S 42.1.b ,19pbZ00000002kzQAA,0fCbZ00000000ryUAA
S 42.2 ,A registrant must make a record describing the findings of the survey,0eubZ00000001HnQAI,S 42.2 ,S 42.2 ,S 42.2 ,0fMbZ00000000lXUAQ,S 42.2 ,19pbZ00000002kzQAA,0fCbZ00000000rzUAA
S 43.1.a.i ,"A registrant must make a policy describing how residents and their contact persons and personal representatives, may bring a concern or make a complaint to the registrant about any matter relevant to the operation of the assisted living residence",0eubZ00000001HoQAI,S 43.1.a.i ,S 43.1.a.i ,S 43.1.a.i ,0fMbZ00000000lYUAQ,S 43.1.a.i ,19pbZ00000002kzQAA,0fCbZ00000000s0UAA
S 43.1.a.ii ,Registrant must make a policy on how residents and their contact persons and personal Rep may bring a concern or make a complaint to the registrant about any matter relevant to the provision of hospitality services and assisted living services,0eubZ00000001HpQAI,S 43.1.a.ii ,S 43.1.a.ii ,S 43.1.a.ii ,0fMbZ00000000lZUAQ,S 43.1.a.ii ,19pbZ00000002kzQAA,0fCbZ00000000s1UAA
S 43.1.a.iii ,"A registrant must make a policy describing how residents and their contact persons and personal representatives, may bring a concern or make a complaint to the registrant about any matter relevant tothe implementation of their residency agreements",0eubZ00000001HqQAI,S 43.1.a.iii ,S 43.1.a.iii ,S 43.1.a.iii ,0fMbZ00000000laUAA,S 43.1.a.iii ,19pbZ00000002kzQAA,0fCbZ00000000s2UAA
S 43.1.b ,"A registrant must make a policy describing how concerns will be addressed and complaints will be resolved in a fair, timely and effective manner",0eubZ00000001HrQAI,S 43.1.b ,S 43.1.b ,S 43.1.b ,0fMbZ00000000lbUAA,S 43.1.b ,19pbZ00000002kzQAA,0fCbZ00000000s3UAA
S 43.2 ,A registrant must display in a prominent place in the assisted living residence the information described in section 31 (3) (b) [residency agreement] respecting complaints to the registrar.,0eubZ00000001HsQAI,S 43.2 ,S 43.2 ,S 43.2 ,0fMbZ00000000lcUAA,S 43.2 ,19pbZ00000002kzQAA,0fCbZ00000000s4UAA
S 43.3.a ,"If a concern is brought or a complaint is made to the registrant, the registrant must  make reasonable attempts to address the concern or resolve the complaint",0eubZ00000001HtQAI,S 43.3.a ,S 43.3.a ,S 43.3.a ,0fMbZ00000000ldUAA,S 43.3.a ,19pbZ00000002kzQAA,0fCbZ00000000s5UAA
S 43.3.b ,"If a concern is brought or a complaint is made to the registrant, the registrant must make a record of the concern or complaint and the actions taken under paragraph",0eubZ00000001HuQAI,S 43.3.b ,S 43.3.b ,S 43.3.b ,0fMbZ00000000leUAA,S 43.3.b ,19pbZ00000002kzQAA,0fCbZ00000000s6UAA
S 43.4.a ,"A registrant must ensure that a resident is not subject to  interference or obstruction, including by intimidation, if the resident wishes or attempts to contact the registrar to make a complain",0eubZ00000001HvQAI,S 43.4.a ,S 43.4.a ,S 43.4.a ,0fMbZ00000000lfUAA,S 43.4.a ,19pbZ00000002kzQAA,0fCbZ00000000s7UAA
S 43.4.b ,"A registrant must ensure that a resident is not subject to retaliation as a result of concerns brought or complaints made to the registrant, or complaints made to the registrar.",0eubZ00000001HwQAI,S 43.4.b ,S 43.4.b ,S 43.4.b ,0fMbZ00000000lgUAA,S 43.4.b ,19pbZ00000002kzQAA,0fCbZ00000000s8UAA
S 44.1.a ,A registrant must make a policy describing the procedures to be followedto determine if a resident may no longer reside in the assisted living residence.,0eubZ00000001HxQAI,S 44.1.a ,S 44.1.a ,S 44.1.a ,0fMbZ00000000lhUAA,S 44.1.a ,19pbZ00000002kzQAA,0fCbZ00000000s9UAA
S 44.1.b ,A registrant must make a policy describing the procedures to be followedto end the resident's residency.,0eubZ00000001HyQAI,S 44.1.b ,S 44.1.b ,S 44.1.b ,0fMbZ00000000liUAA,S 44.1.b ,19pbZ00000002kzQAA,0fCbZ00000000sAUAQ
S 44.2.a ,"Registrant must not end residency if resident is unable to make decisions to live safely, unless the registrant ensures assessment of decision-making capacity before ending the resident's residency, by a health professional referred to in subsection.3",0eubZ00000001HzQAI,S 44.2.a ,S 44.2.a ,S 44.2.a ,0fMbZ00000000ljUAA,S 44.2.a ,19pbZ00000002kzQAA,0fCbZ00000000sBUAQ
S 44.2.b ,"Registrant must not end a resident's residency on the basis that the resident is unable to make, on their own behalf, decisions that are necessary to live safely, unless the registrant keeps a record of the results of the assessment.",0eubZ00000001I0QAI,S 44.2.b ,S 44.2.b ,S 44.2.b ,0fMbZ00000000lkUAA,S 44.2.b ,19pbZ00000002kzQAA,0fCbZ00000000sCUAQ
S 44.2.c ,"Registrant must not end residency on the basis that the resident is unable to make own decisions necessary to live safely, unless the registrant ensures that the resident  & the resident's contact person and personal rep if any, have a copy of the record.",0eubZ00000001I1QAI,S 44.2.c ,S 44.2.c ,S 44.2.c ,0fMbZ00000000llUAA,S 44.2.c ,19pbZ00000002kzQAA,0fCbZ00000000sDUAQ
S 44.3.a ,The following are health professionals for the purposes of subsection .3medical practitioners.,0eubZ00000001I2QAI,S 44.3.a ,S 44.3.a ,S 44.3.a ,0fMbZ00000000lmUAA,S 44.3.a ,19pbZ00000002kzQAA,0fCbZ00000000sEUAQ
S 44.3.b.i ,The following are health professionals for the purposes of subsection .5registrants of the British Columbia College of Nurses and Midwives who are subject tothe Nurses (Registered) and Nurse Practitioners Regulation.,0eubZ00000001I3QAI,S 44.3.b.i ,S 44.3.b.i ,S 44.3.b.i ,0fMbZ00000000lnUAA,S 44.3.b.i ,19pbZ00000002kzQAA,0fCbZ00000000sFUAQ
S 44.3.b.ii ,The following are health professionals for the purposes of subsection .6registrants of the British Columbia College of Nurses and Midwives who are subject tothe Nurses (Registered Psychiatric) Regulation.,0eubZ00000001I4QAI,S 44.3.b.ii ,S 44.3.b.ii ,S 44.3.b.ii ,0fMbZ00000000loUAA,S 44.3.b.ii ,19pbZ00000002kzQAA,0fCbZ00000000sGUAQ
S 44.3.c ,The following are health professionals for the purposes of subsection .7registrants of the British Columbia College of Social Workers.,0eubZ00000001I5QAI,S 44.3.c ,S 44.3.c ,S 44.3.c ,0fMbZ00000000lpUAA,S 44.3.c ,19pbZ00000002kzQAA,0fCbZ00000000sHUAQ
S 44.3.d ,The following are health professionals for the purposes of subsection .8registrants of the College of Occupational Therapists of British Columbia.,0eubZ00000001I6QAI,S 44.3.d ,S 44.3.d ,S 44.3.d ,0fMbZ00000000lqUAA,S 44.3.d ,19pbZ00000002kzQAA,0fCbZ00000000sIUAQ
S 44.3.e ,The following are health professionals for the purposes of subsection .9registrants of the College of Psychologists of British Columbia.,0eubZ00000001I7QAI,S 44.3.e ,S 44.3.e ,S 44.3.e ,0fMbZ00000000lrUAA,S 44.3.e ,19pbZ00000002kzQAA,0fCbZ00000000sJUAQ
S 45.1.a ,"Registrant must develop transition plan for ending a resident's residency when needs & capabilities change, resident requires care or is no longer allowed, under section 26.1 [persons not allowed to reside in AL residence] of the Act, to reside in the AL",0eubZ00000001I8QAI,S 45.1.a ,S 45.1.a ,S 45.1.a ,0fMbZ00000000lsUAA,S 45.1.a ,19pbZ00000002kzQAA,0fCbZ00000000sKUAQ
S 45.1.b ,A registrant must ensure that a transition plan is developed for a resident that provides for ending a resident's residency if any of the following circumstances occur:the resident no longer requires assisted living services.,0eubZ00000001I9QAI,S 45.1.b ,S 45.1.b ,S 45.1.b ,0fMbZ00000000ltUAA,S 45.1.b ,19pbZ00000002kzQAA,0fCbZ00000000sLUAQ
S 45.1.c ,A registrant must ensure that a transition plan is developed for a resident that provides for ending a resident's residency if any of the following circumstances occur:the resident expresses an intention to end the resident's residency.,0eubZ00000001IAQAY,S 45.1.c ,S 45.1.c ,S 45.1.c ,0fMbZ00000000luUAA,S 45.1.c ,19pbZ00000002kzQAA,0fCbZ00000000sMUAQ
S 45.1.d ,Registrant must develop a transition plan that provides for ending a resident's residency if the resident resides in an AL residence of the SU class and chooses to use a med that is not permitted under the med policy of the AL residence.,0eubZ00000001IBQAY,S 45.1.d ,S 45.1.d ,S 45.1.d ,0fMbZ00000000lvUAA,S 45.1.d ,19pbZ00000002kzQAA,0fCbZ00000000sNUAQ
S 45.2.a ,"A registrant must ensure that a transition plan describes all of the following:when and by whom the resident will be moved out of the assisted living residence, and, if known, where the resident will be moved to.",0eubZ00000001ICQAY,S 45.2.a ,S 45.2.a ,S 45.2.a ,0fMbZ00000000lwUAA,S 45.2.a ,19pbZ00000002kzQAA,0fCbZ00000000sOUAQ
S 45.2.b.i ,"Registrant must ensure transition plan describes how any risks to the H&S of the resident will be minimized before, during & after the move, including any changes to the AL services that will be provided to the resident while awaiting the move.",0eubZ00000001IDQAY,S 45.2.b.i ,S 45.2.b.i ,S 45.2.b.i ,0fMbZ00000000lxUAA,S 45.2.b.i ,19pbZ00000002kzQAA,0fCbZ00000000sPUAQ
