Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,CreatedBy.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name,AssessmentIndDefinition.$$Name$Category__c$PHOCSParentId__r.Name
0dtbZ00000031OcQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000Vz8QAE,A new sanitary strip or clean towel for the client is not available.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;A new sanitary strip or clean towel for the client is not available.;General Requirements;Adequate infection control measures are implemented.,A new sanitary strip or clean towel for the client is not available.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031OdQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000Vz9QAE,Piercing guns are used for body piercing.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Piercing guns are used for body piercing.;General Requirements;Adequate infection control measures are implemented.,Piercing guns are used for body piercing.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031OeQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzAQAU,Skin is not cleansed with soap and swabbed with an antiseptic before piercing.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Skin is not cleansed with soap and swabbed with an antiseptic before piercing.;General Requirements;Adequate infection control measures are implemented.,Skin is not cleansed with soap and swabbed with an antiseptic before piercing.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031OfQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzBQAU,Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.;General Requirements;Adequate infection control measures are implemented.,Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031OgQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzCQAU,"Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).",General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,"General Requirements;Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).;General Requirements;Adequate infection control measures are implemented.","Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).;General Requirements;Adequate infection control measures are implemented."
0dtbZ00000031OhQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzDQAU,A sharps container is not available and/or used.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;A sharps container is not available and/or used.;General Requirements;Adequate infection control measures are implemented.,A sharps container is not available and/or used.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031OjQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzFQAU,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.;General Requirements;Adequate infection control measures are implemented.,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031OkQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzGQAU,General precautions are not taken to prevent cross-contamination.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;General precautions are not taken to prevent cross-contamination.;General Requirements;Adequate infection control measures are implemented.,General precautions are not taken to prevent cross-contamination.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031OlQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzHQAU,The operator and/or staff are not wearing clean outer garments.,General Requirements,Adequate personal hygiene is practiced.,Vishwantha Gandloju,General Requirements;The operator and/or staff are not wearing clean outer garments.;General Requirements;Adequate personal hygiene is practiced.,The operator and/or staff are not wearing clean outer garments.;General Requirements;Adequate personal hygiene is practiced.
0dtbZ00000031OmQAI,0Z4bZ0000000HwvSAE,General Requirements,0eubZ0000000VzIQAU,The operator and/or staff are not immunized against Hepatitis B & Tetanus (recommended).,General Requirements,Adequate personal hygiene is practiced.,Vishwantha Gandloju,General Requirements;The operator and/or staff are not immunized against Hepatitis B & Tetanus (recommended).;General Requirements;Adequate personal hygiene is practiced.,The operator and/or staff are not immunized against Hepatitis B & Tetanus (recommended).;General Requirements;Adequate personal hygiene is practiced.
0dtbZ00000031PNQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyHQAU,Construction or alterations has occurred without the review of an Environmental Health Officer.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Construction or alterations has occurred without the review of an Environmental Health Officer.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Construction or alterations has occurred without the review of an Environmental Health Officer.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031POQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyIQAU,Construction is not conducive to the hygenic or efficient practices or the services being provided.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Construction is not conducive to the hygenic or efficient practices or the services being provided.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Construction is not conducive to the hygenic or efficient practices or the services being provided.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031PPQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyJQAU,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031PQQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyKQAU,Using an unapproved water source.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Using an unapproved water source.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Using an unapproved water source.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031PRQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyLQAU,Premises is not equipped with mechanical ventilation.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Premises is not equipped with mechanical ventilation.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Premises is not equipped with mechanical ventilation.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031PSQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyMQAU,Handwashing facilities are not properly supplied and/or conveniently located.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Handwashing facilities are not properly supplied and/or conveniently located.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Handwashing facilities are not properly supplied and/or conveniently located.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031PTQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyNQAU,Premises is not equipped with a sink(s) for cleaning of equipment/instruments.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Premises is not equipped with a sink(s) for cleaning of equipment/instruments.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Premises is not equipped with a sink(s) for cleaning of equipment/instruments.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031PUQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyOQAU,Backflow prevention devices not present where needed; cross-connections present.,General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Backflow prevention devices not present where needed; cross-connections present.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Backflow prevention devices not present where needed; cross-connections present.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.
0dtbZ00000031PVQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyPQAU,Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.,General Requirements,The personal service establishment's operation has been reviewed and accepted.,Vishwantha Gandloju,General Requirements;Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.;General Requirements;The personal service establishment's operation has been reviewed and accepted.,Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.;General Requirements;The personal service establishment's operation has been reviewed and accepted.
0dtbZ00000031PWQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyQQAU,Premises has not been inspected or plans and procedures have not been reviewed.,General Requirements,The personal service establishment's operation has been reviewed and accepted.,Vishwantha Gandloju,General Requirements;Premises has not been inspected or plans and procedures have not been reviewed.;General Requirements;The personal service establishment's operation has been reviewed and accepted.,Premises has not been inspected or plans and procedures have not been reviewed.;General Requirements;The personal service establishment's operation has been reviewed and accepted.
0dtbZ00000031PXQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyRQAU,"The work area is not clean, organized, free of clutter and well lit.",General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;The work area is not clean, organized, free of clutter and well lit.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","The work area is not clean, organized, free of clutter and well lit.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PYQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VySQAU,Required supplies for services are not available and within easy reach.,General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Required supplies for services are not available and within easy reach.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Required supplies for services are not available and within easy reach.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PZQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyTQAU,"Surfaces are constructed of rough, absorbent and/or porous materials.",General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Surfaces are constructed of rough, absorbent and/or porous materials.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Surfaces are constructed of rough, absorbent and/or porous materials.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PaQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyUQAU,Storage for clean equipment is not separated from soiled equipment.,General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Storage for clean equipment is not separated from soiled equipment.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Storage for clean equipment is not separated from soiled equipment.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PbQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyVQAU,"Instruments are not stored in a clean, covered container when not in use.",General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Instruments are not stored in a clean, covered container when not in use.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Instruments are not stored in a clean, covered container when not in use.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PcQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyWQAU,Equipment is not maintained according to manufacturer.,General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Equipment is not maintained according to manufacturer.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Equipment is not maintained according to manufacturer.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PdQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyXQAU,Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.,General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PeQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyYQAU,Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.,General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PfQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyZQAU,Disinfectant is not available or not at the appropriate concentration.,General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Disinfectant is not available or not at the appropriate concentration.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Disinfectant is not available or not at the appropriate concentration.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PgQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyaQAE,Soiled laundry is not laundered after each client.,General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Soiled laundry is not laundered after each client.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Soiled laundry is not laundered after each client.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PhQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VybQAE,Laundry service is not available.,General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Laundry service is not available.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Laundry service is not available.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PiQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VycQAE,Backflow prevention devices are not installed.,General Requirements,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Backflow prevention devices are not installed.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Backflow prevention devices are not installed.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained."
0dtbZ00000031PjQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VydQAE,Food is prepared and served to clients without approval.,General Requirements,Food and/or beverage are offered in an acceptable manner to clients.,Vishwantha Gandloju,General Requirements;Food is prepared and served to clients without approval.;General Requirements;Food and/or beverage are offered in an acceptable manner to clients.,Food is prepared and served to clients without approval.;General Requirements;Food and/or beverage are offered in an acceptable manner to clients.
0dtbZ00000031PkQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyeQAE,Beverages are not served in single-service disposable cups.,General Requirements,Food and/or beverage are offered in an acceptable manner to clients.,Vishwantha Gandloju,General Requirements;Beverages are not served in single-service disposable cups.;General Requirements;Food and/or beverage are offered in an acceptable manner to clients.,Beverages are not served in single-service disposable cups.;General Requirements;Food and/or beverage are offered in an acceptable manner to clients.
0dtbZ00000031PlQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyfQAE,Premises is not separate from incompatible activities.,General Requirements,Incompatible activity is not present.,Vishwantha Gandloju,General Requirements;Premises is not separate from incompatible activities.;General Requirements;Incompatible activity is not present.,Premises is not separate from incompatible activities.;General Requirements;Incompatible activity is not present.
0dtbZ00000031PmQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VygQAE,A first aid kit is not available on site.,General Requirements,A first aid kit is available.,Vishwantha Gandloju,General Requirements;A first aid kit is not available on site.;General Requirements;A first aid kit is available.,A first aid kit is not available on site.;General Requirements;A first aid kit is available.
0dtbZ00000031PnQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyhQAE,Hands are not washed before and after each client/treatment/wearing gloves.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Hands are not washed before and after each client/treatment/wearing gloves.;General Requirements;Adequate infection control measures are implemented.,Hands are not washed before and after each client/treatment/wearing gloves.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031PoQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyiQAE,"Reusable instruments are not cleaned with soap and water, then disinfected at the appropriate level.",General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,"General Requirements;Reusable instruments are not cleaned with soap and water, then disinfected at the appropriate level.;General Requirements;Adequate infection control measures are implemented.","Reusable instruments are not cleaned with soap and water, then disinfected at the appropriate level.;General Requirements;Adequate infection control measures are implemented."
0dtbZ00000031PpQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyjQAE,Single use instruments are not discarded after each client.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Single use instruments are not discarded after each client.;General Requirements;Adequate infection control measures are implemented.,Single use instruments are not discarded after each client.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031PqQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VykQAE,Disinfectant is expired and/or not used as per manufacturer's instructions.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Disinfectant is expired and/or not used as per manufacturer's instructions.;General Requirements;Adequate infection control measures are implemented.,Disinfectant is expired and/or not used as per manufacturer's instructions.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031PrQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VylQAE,Gloves are not worn and changed between clients or as needed.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Gloves are not worn and changed between clients or as needed.;General Requirements;Adequate infection control measures are implemented.,Gloves are not worn and changed between clients or as needed.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031PsQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VymQAE,"Client's skin is not examined prior to waxing (do not wax broken, infected or irritated skin).",General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,"General Requirements;Client's skin is not examined prior to waxing (do not wax broken, infected or irritated skin).;General Requirements;Adequate infection control measures are implemented.","Client's skin is not examined prior to waxing (do not wax broken, infected or irritated skin).;General Requirements;Adequate infection control measures are implemented."
0dtbZ00000031PtQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VynQAE,Client's skin is not cleaned and disinfected with a skin antiseptic prior to waxing.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Client's skin is not cleaned and disinfected with a skin antiseptic prior to waxing.;General Requirements;Adequate infection control measures are implemented.,Client's skin is not cleaned and disinfected with a skin antiseptic prior to waxing.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031PuQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyoQAE,Wax is not dispensed in a way that prevents contaminating the remaining portion.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Wax is not dispensed in a way that prevents contaminating the remaining portion.;General Requirements;Adequate infection control measures are implemented.,Wax is not dispensed in a way that prevents contaminating the remaining portion.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031PvQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VypQAE,"Sterilized, single use, pre-sterilized equipment is compromised or expired and still in use.",General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,"General Requirements;Sterilized, single use, pre-sterilized equipment is compromised or expired and still in use.;General Requirements;Adequate infection control measures are implemented.","Sterilized, single use, pre-sterilized equipment is compromised or expired and still in use.;General Requirements;Adequate infection control measures are implemented."
0dtbZ00000031PwQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyqQAE,Client's skin is not cleaned and disinfected with antiseptic before procedure.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Client's skin is not cleaned and disinfected with antiseptic before procedure.;General Requirements;Adequate infection control measures are implemented.,Client's skin is not cleaned and disinfected with antiseptic before procedure.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031PxQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyrQAE,Products are not dispensed in a manner to prevent contamination of bulk supplies.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Products are not dispensed in a manner to prevent contamination of bulk supplies.;General Requirements;Adequate infection control measures are implemented.,Products are not dispensed in a manner to prevent contamination of bulk supplies.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031PyQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VysQAE,Sharps are not disposed of in an appropriate manner.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Sharps are not disposed of in an appropriate manner.;General Requirements;Adequate infection control measures are implemented.,Sharps are not disposed of in an appropriate manner.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031PzQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VytQAE,The tattoo area is not covered with a clean and non-stick dressing.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;The tattoo area is not covered with a clean and non-stick dressing.;General Requirements;Adequate infection control measures are implemented.,The tattoo area is not covered with a clean and non-stick dressing.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031Q0QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyuQAE,Clients are not provided with written and verbal aftercare instructions.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Clients are not provided with written and verbal aftercare instructions.;General Requirements;Adequate infection control measures are implemented.,Clients are not provided with written and verbal aftercare instructions.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031Q1QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyvQAE,Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.;General Requirements;Adequate infection control measures are implemented.,Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031Q2QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VywQAE,Infection control plan is not available.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Infection control plan is not available.;General Requirements;Adequate infection control measures are implemented.,Infection control plan is not available.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031Q3QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyxQAE,Clients do not wash their hands prior to their nail treatment.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Clients do not wash their hands prior to their nail treatment.;General Requirements;Adequate infection control measures are implemented.,Clients do not wash their hands prior to their nail treatment.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031Q4QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyyQAE,Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).;General Requirements;Adequate infection control measures are implemented.,Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031Q5QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyzQAE,"Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.",General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,"General Requirements;Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.;General Requirements;Adequate infection control measures are implemented.","Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.;General Requirements;Adequate infection control measures are implemented."
0dtbZ00000031Q6QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz0QAE,"Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.",General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,"General Requirements;Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.;General Requirements;Adequate infection control measures are implemented.","Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.;General Requirements;Adequate infection control measures are implemented."
0dtbZ00000031Q7QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz1QAE,Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).;General Requirements;Adequate infection control measures are implemented.,Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031Q8QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz2QAE,Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.;General Requirements;Adequate infection control measures are implemented.,Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.;General Requirements;Adequate infection control measures are implemented.
